ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Rupa-250-1-2,Rupa-250-1,nə-ʨʰuː ~ də-ʨʰuː,13,false,expert,,tɕʰ uː,,,2
Shergaon-250-1-1,Shergaon-250-1,də-ʨʰuː,16,false,expert,,d ə,,,1
Shergaon-250-1-2,Shergaon-250-1,də-ʨʰuː,13,false,expert,,tɕʰ uː,,,2
Khoina-256-1-1,Khoina-256-1,də-ʨĩː-ʥi,19,false,expert,,d ə,,,1
Khoina-256-1-2,Khoina-256-1,də-ʨĩː-ʥi,17,false,expert,,tɕ ĩː,,,2
Khoina-256-1-3,Khoina-256-1,də-ʨĩː-ʥi,18,false,expert,,dʑ i,,,3
Jerigaon-256-1-1,Jerigaon-256-1,kʰ-ʨĩː-ʥi,20,false,expert,,kʰ,,,1
Jerigaon-256-1-2,Jerigaon-256-1,kʰ-ʨĩː-ʥi,17,false,expert,,tɕ ĩː,,,2
Jerigaon-256-1-3,Jerigaon-256-1,kʰ-ʨĩː-ʥi,18,false,expert,,dʑ i,,,3
Rupa-256-1-1,Rupa-256-1,di-ʨʰi-ʥi,19,false,expert,,d ə,,,1
Rupa-256-1-2,Rupa-256-1,di-ʨʰi-ʥi,17,false,expert,,tɕ ĩː,,,2
Rupa-256-1-3,Rupa-256-1,di-ʨʰi-ʥi,18,false,expert,,dʑ i,,,3
Khispi-259-1-1,Khispi-259-1,kʰus-tam-bi,21,false,expert,,kʰ u s,,,1
Khispi-259-1-2,Khispi-259-1,kʰus-tam-bi,23,false,expert,,t a m,,,2
Khispi-259-1-3,Khispi-259-1,kʰus-tam-bi,18,false,expert,,b i,,,3
Khoina-259-1-1,Khoina-259-1,gə-tam-ʥi,21,false,expert,,g ə -,,,1
Khoina-259-1-2,Khoina-259-1,gə-tam-ʥi,23,false,expert,,t a m,,,2
Khoina-259-1-3,Khoina-259-1,gə-tam-ʥi,18,false,expert,,dʑ i,,,3
Jerigaon-259-1-1,Jerigaon-259-1,kʰ-tam-ʥi,21,false,expert,,kʰ - -,,,1
Jerigaon-259-1-2,Jerigaon-259-1,kʰ-tam-ʥi,23,false,expert,,t a m,,,2
Jerigaon-259-1-3,Jerigaon-259-1,kʰ-tam-ʥi,18,false,expert,,dʑ i,,,3
Rupa-259-1-1,Rupa-259-1,gə-tam-ʥi,21,false,expert,,g ə -,,,1
Rupa-259-1-2,Rupa-259-1,gə-tam-ʥi,23,false,expert,,t a m,,,2
Rupa-259-1-3,Rupa-259-1,gə-tam-ʥi,18,false,expert,,dʑ i,,,3
Shergaon-259-1-1,Shergaon-259-1,ka-tam-ʥi,21,false,expert,,k a -,,,1
Shergaon-259-1-2,Shergaon-259-1,ka-tam-ʥi,23,false,expert,,t a m,,,2
Shergaon-259-1-3,Shergaon-259-1,ka-tam-ʥi,18,false,expert,,dʑ i,,,3
Khoina-307-1-1,Khoina-307-1,kʰu-nɔ̃ː,25,false,expert,,kʰ u,,,1
Khoina-307-1-2,Khoina-307-1,kʰu-nɔ̃ː,24,false,expert,,n ɔ̃ː -,,,2
Jerigaon-307-1-1,Jerigaon-307-1,kʰu-nɔ̃ː-ʥi,25,false,expert,,kʰ u,,,1
Jerigaon-307-1-2,Jerigaon-307-1,kʰu-nɔ̃ː-ʥi,24,false,expert,,n ɔ̃ː -,,,2
Jerigaon-307-1-3,Jerigaon-307-1,kʰu-nɔ̃ː-ʥi,26,false,expert,,dʑ i,,,3
Rahung-307-1-1,Rahung-307-1,kʰu-nũː(ŋ),25,false,expert,,kʰ u,,,1
Rahung-307-1-2,Rahung-307-1,kʰu-nũː(ŋ),24,false,expert,,n ũː (ŋ)/ŋ,,,2
Rupa-307-1-1,Rupa-307-1,kʰu-nũː,25,false,expert,,kʰ u,,,1
Rupa-307-1-2,Rupa-307-1,kʰu-nũː,24,false,expert,,n ũː -,,,2
Shergaon-307-1-1,Shergaon-307-1,kʰu-nɔ̃ː,25,false,expert,,kʰ u,,,1
Shergaon-307-1-2,Shergaon-307-1,kʰu-nɔ̃ː,24,false,expert,,n ɔ̃ː -,,,2
Khispi-312-1-1,Khispi-312-1,mɔn-pa,30,false,expert,,m ɔ n,,,1
Khispi-312-1-2,Khispi-312-1,mɔn-pa,28,false,expert,,p a,,,2
Duhumbi-312-1-1,Duhumbi-312-1,mɔn-pa,30,false,expert,,m ɔ n,,,1
Duhumbi-312-1-2,Duhumbi-312-1,mɔn-pa,28,false,expert,,p a,,,2
Khoina-312-1-1,Khoina-312-1,ʥə-mɐ̃ː,29,false,expert,,dʑ ə,,,1
Khoina-312-1-2,Khoina-312-1,ʥə-mɐ̃ː,30,false,expert,,m ɐ̃ː -,,,2
Rahung-312-1-1,Rahung-312-1,mɔn-pa,30,false,expert,,m ɔ n,,,1
Rahung-312-1-2,Rahung-312-1,mɔn-pa,28,false,expert,,p a,,,2
Rupa-312-1-1,Rupa-312-1,ʥə-mɔ̃ː,29,false,expert,,dʑ ə,,,1
Rupa-312-1-2,Rupa-312-1,ʥə-mɔ̃ː,30,false,expert,,m ɔ̃ː -,,,2
Shergaon-312-1-1,Shergaon-312-1,ʥɔ-mɔ̃ː,29,false,expert,,dʑ ɔ,,,1
