ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Khoina-14-1-3,Khoina-14-1,a-tʰɔn-ʥi,73,false,expert,,dʑ i,,,3
Khoitam-14-1-1,Khoitam-14-1,a-tʰɔm,56,false,expert,,a,,,1
Khoitam-14-1-2,Khoitam-14-1,a-tʰɔm,71,false,expert,,tʰ ɔ m,,,2
Rahung-14-1-1,Rahung-14-1,a-tʰɔm,56,false,expert,,a,,,1
Rahung-14-1-2,Rahung-14-1,a-tʰɔm,71,false,expert,,tʰ ɔ m,,,2
Rupa-14-1-1,Rupa-14-1,a-tʰɔm,56,false,expert,,a,,,1
Rupa-14-1-2,Rupa-14-1,a-tʰɔm,71,false,expert,,tʰ ɔ m,,,2
Shergaon-14-1-1,Shergaon-14-1,a-tʰɔm,56,false,expert,,a,,,1
Shergaon-14-1-2,Shergaon-14-1,a-tʰɔm,71,false,expert,,tʰ ɔ m,,,2
Khispi-15-1-1,Khispi-15-1,-ta,74,false,expert,,t a -,,,1
Duhumbi-15-1-1,Duhumbi-15-1,-ta,74,false,expert,,t a -,,,1
Jerigaon-15-1-1,Jerigaon-15-1,-tɛn,74,false,expert,,t ɛ n,,,1
Khoitam-15-1-1,Khoitam-15-1,-tan,74,false,expert,,t a n,,,1
Rahung-15-1-1,Rahung-15-1,-tɛn,74,false,expert,,t ɛ n,,,1
Rupa-15-1-1,Rupa-15-1,-tɔː,74,false,expert,,t ɔː -,,,1
Shergaon-15-1-1,Shergaon-15-1,-tɔː,74,false,expert,,t ɔː -,,,1
Duhumbi-16-1-1,Duhumbi-16-1,mɛs-kɔŋ,76,false,expert,,m ɛ s,,,1
Duhumbi-16-1-2,Duhumbi-16-1,mɛs-kɔŋ,401,false,expert,,k ɔ ŋ,,,2
Jerigaon-16-1-1,Jerigaon-16-1,mə-kuŋ,76,false,expert,,m ə -,,,1
Jerigaon-16-1-2,Jerigaon-16-1,mə-kuŋ,401,false,expert,,k u ŋ,,,2
Duhumbi-580-1-1,Duhumbi-580-1,dɛr,756,false,expert,,d ɛ r,,,1
Khispi-17-1-1,Khispi-17-1,(ki) ʦʰik,526,false,expert,,k i,,,1
Khispi-17-1-2,Khispi-17-1,(ki) ʦʰik,488,false,expert,,tsʰ i k,,,2
Duhumbi-17-1-1,Duhumbi-17-1,(ki) ʦʰik,526,false,expert,,k i,,,1
