ID,Name,Concepticon_ID,Concepticon_Gloss
1_1sg,1sg,1209,I
2_2plexcl,2pl.excl,1213,YOU
3_2plincl,2pl.incl,1131,WE (INCLUSIVE)
4_2sg,2sg,1215,THOU
5_3sg,3sg,262,HE OR SHE OR IT
6_ablative,ablative,,
7_abovetop,"above, top",2379,UP OR ABOVE
8_achieveobtain,"achieve, obtain",694,GET
9_aconite,aconite,,
10_after,after,1685,AFTER
11_afternoon,afternoon,1807,AFTERNOON
12_agent,agent,,
13_alivehealthy,"alive, healthy",1422,BE ALIVE
14_all,all,98,ALL
15_allative,allative,,
16_amaranth,amaranth,,
17_angryvi,angry (vi),2223,BE ANGRY
18_ant,ant,587,ANT
19_arrow,arrow,977,ARROW
20_ascend,ascend,705,GO UP (ASCEND)
21_ash,ash,646,ASH
22_ask,ask,1309,ASK (INQUIRE)
23_associative,associative,,
24_attic,attic,,
25_axe,axe,677,AXE
26_backn,back (n),1291,BACK
27_backwards,back (wards),2911,BACKWARD
28_bad,bad,1292,BAD
29_bamboo,bamboo,1927,BAMBOO
30_banana,banana,868,BANANA
31_barley,barley,932,BARLEY
32_bastard,bastard,1947,BASTARD
33_bat,bat,1793,BAT
34_beans,beans,832,BEAN
35_bear,bear,1820,BEAR
36_beathit,"beat, hit",1433,HIT
37_beautiful,beautiful,1427,BEAUTIFUL
38_bee,bee,665,BEE
39_beerfilter,beer filter,,
40_beerstrainer,beer strainer,,
41_behind,behind,1686,BEHIND
42_bellyabdomen,"belly, abdomen",2114,BELLY OR STOMACH
43_belt,belt,772,BELT
44_big,big,1202,BIG
45_bindv,bind (v),1917,TIE
46_bird,bird,937,BIRD
47_bite,bite,1403,BITE
48_bittervi,bitter (vi),887,BITTER
49_black,black,163,BLACK
50_blood,blood,946,BLOOD
51_blow,blow,176,BLOW (WITH MOUTH)
52_blowwind,blow (wind),175,BLOW (OF WIND)
53_boarwild,"boar, wild",3154,WILD BOAR
54_boilwater,boil  (water),792,BOIL (OF LIQUID)
55_boiln,boil (n),793,BOIL (OF SKIN)
56_bone,bone,1394,BONE
57_borrow,borrow,1823,BORROW
58_bow,bow,994,BOW
59_brain,brain,1583,BRAIN
60_branch,branch,1531,BRANCH
61_break,break,2558,BREAK (CLEAVE)
62_breastmilk,"breast, milk",2129,BREAST OR MILK
63_breath,breath,870,BREATH
64_bridge,bridge,1011,BRIDGE
65_bridgehanging,"bridge, hanging",,
66_bring,bring,692,BRING
67_brotherelder,brother (elder),1759,OLDER BROTHER
68_brotherinlaw,brother-in-law,2314,BROTHER-IN-LAW
69_brotheryounger,"brother, younger",1760,YOUNGER BROTHER
70_buckwheatbitter,"buckwheat, bitter",3256,BITTER BUCKWHEAT
71_buckwheatsweet,"buckwheat, sweet",2040,BUCKWHEAT
72_buffalo,buffalo,934,BUFFALO
73_bugun,Bugun,,
74_burnvi,burn (vi),1428,BURNING
75_burnroastvt,"burn, roast (vt)",1962,ROAST (SOMETHING)
76_butter,butter,1245,BUTTER
77_butterfly,butterfly,1791,BUTTERFLY
78_buy,buy,1869,BUY
79_callfor,call for,1084,CALL
80_cane,cane,,
81_caphat,"cap, hat",2130,HEADGEAR
82_carry,carry,465,CARRY ON BACK
83_cat,cat,1208,CAT
84_cattlecow,"cattle, cow",1153,CATTLE
85_cave,cave,1155,CAVE
86_charcoal,charcoal,1188,CHARCOAL
87_chest,chest,1592,CHEST
88_chew,chew,321,CHEW
89_chicken,chicken,1318,CHICKEN
90_child,child,1801,CHILD (DESCENDANT)
91_chili,chili,919,CHILI PEPPER
92_chin,chin,1510,CHIN
93_civetorspottedwildcat,civet or spotted wild cat,3157,CIVET
94_civetpalm,"civet, palm",3157,CIVET
95_clean,clean,704,CLEAN
97_cliffravine,"cliff, ravine",1930,RAVINE
98_clitoris,clitoris,3257,CLITORIS
99_clothing,clothing,1895,CLOTHES
100_cloudmistfog,"cloud, mist, fog",3275,CLOUD OR FOG
101_cockroach,cockroach,1575,COCKROACH
102_cold,cold,1287,COLD
103_coldvi,cold (vi),,
104_comb,comb,1475,COMB
105_come,come,1446,COME
106_comparativedegree,comparative degree,,
107_cook,cook,1100,COOK (SOMETHING)
108_copulaexistential,"copula, existential",1579,BE
109_copulanegative,"copula, negative",,
110_corpse,corpse,767,CORPSE
111_cotton,cotton,1850,COTTON
112_coughvi,cough (vi),879,COUGH
113_count,count,1420,COUNT
114_coverv,cover (v),761,COVER
115_creepervine,"creeper, vine",,
116_crow,crow,913,CROW
117_cry,cry,1839,CRY
118_cucumber,cucumber,496,CUCUMBER
119_curcumasp,curcuma sp.,2842,TURMERIC
120_curevi,cure (vi),,
121_cut,cut,2156,CUT (WITH KNIFE)
122_dance,dance,1879,DANCE
123_daughter,daughter,1357,DAUGHTER
124_daughterinlaw,daughter-in-law,1057,DAUGHTER-IN-LAW
125_dayaftertomorrow,day after tomorrow,1179,DAY AFTER TOMORROW
126_dayaftertwodays,day after two days,2332,THREE DAYS FROM NOW
127_daybeforetwodays,day before two days,2333,THREE DAYS BEFORE NOW
128_daybeforeyesterday,day before yesterday,1180,DAY BEFORE YESTERDAY
129_deaf,deaf,996,DEAF
130_deep,deep,1593,DEEP
131_deerbarking,"deer, barking",3152,MUNTJACS
132_deersambar,"deer, sambar",,
133_defeatvi,defeat (vi),866,WIN
134_deityghost,"deity, ghost",1944,GOD
135_descend,descend,2014,GO DOWN (DESCEND)
136_die,die,1494,DIE
137_dig,dig,1418,DIG
138_dirty,dirty,1230,DIRTY
139_disease,disease,1986,DISEASE
140_do,do,813,DO
141_dog,dog,2009,DOG
142_dogwild,"dog, wild",2448,WILD DOG
143_door,door,1567,DOOR
144_down,down,1326,DOWN
145_downvisible,down (visible),,
147_dreamn,dream (n),2374,DREAM
148_drink,drink,1401,DRINK
149_dryadj,dry (adj.),1398,DRY
150_drydryupvi,"dry, dry up (v.i.)",1786,DRY UP
151_dual,dual,,
152_eaglebuzzard,"eagle, buzzard",2683,EAGLE OR HAWK
153_ear,ear,1247,EAR
154_earthworm,earthworm,2350,EARTHWORM
155_eat,eat,1336,EAT
156_egg,egg,744,EGG
157_eggplant,eggplant,1146,AUBERGINE
158_eight,eight,1705,EIGHT
159_elbow,elbow,981,ELBOW
160_elephant,elephant,1290,ELEPHANT
161_empty,empty,1624,EMPTY
162_excrement,excrement,675,FAECES (EXCREMENT)
163_excrete,excrete,676,SHIT (DEFECATE)
164_exit,exit,1107,GO OUT
165_eye,eye,1248,EYE
166_face,face,1560,FACE
167_falcon,falcon,3258,FALCON
168_fall,fall,1280,FALL
169_far,far,1406,FAR
170_fast,fast,1631,FAST
171_fatn,fat (n),1282,FAT (FROM ANIMALS)
172_father,father,1217,FATHER
173_fearvi,fear (vi),1419,FEAR (BE AFRAID)
174_female,female,1551,FEMALE
175_fence,fence,1690,FENCE
176_fernfiddlehead,"fern, fiddlehead",,
177_fetch,fetch,3551,FETCH
178_fewlittle,"few, little",1242,FEW
179_field,field,212,FIELD
180_finger,finger,1303,FINGER
181_fire,fire,221,FIRE
182_fireprefix,fire prefix,,
183_fish,fish,227,FISH
184_five,five,493,FIVE
185_flame,flame,889,FLAME
186_flee,flee,956,FLEE
187_float,float,1574,FLOAT
188_flour,flour,1594,FLOUR
189_flow,flow,2003,FLOW
190_flyn,fly (n),1504,FLY (INSECT)
191_flyvi,fly (vi),1441,FLY (MOVE THROUGH AIR)
192_fodder,fodder,3046,FODDER
193_food,food,256,FOOD
194_forehead,forehead,123,FOREHEAD
195_forest,forest,420,FOREST
196_forget,forget,1523,FORGET
197_four,four,1500,FOUR
198_friend,friend,1325,FRIEND
199_frog,frog,503,FROG
200_frost,frost,2034,FROST
201_fruit,fruit,1507,FRUIT
202_fryingpan,frying pan,31,PAN
203_full,full,1429,FULL
204_gallbile,"gall, bile",1780,BILE
205_garden,garden,586,GARDEN
206_garlic,garlic,2368,GARLIC
207_give,give,1447,GIVE
208_go,go,695,GO
209_goat,goat,1502,GOAT
210_goitre,goitre,1957,GOITER
211_gold,gold,1369,GOLD
212_good,good,1035,GOOD
213_goral,goral,3259,GORAL
214_gourd,gourd,411,GOURD
215_grandfather,grandfather,1383,GRANDFATHER
216_grandmother,grandmother,1496,GRANDMOTHER
217_green,green,1425,GREEN
218_grindpound,"grind, pound",1033,GRIND
219_gum,gum,139,GUMS
220_hail,hail,609,HAIL
221_hairbodyfeather,hair (body): feather,2381,FEATHER OR FUR OR HAIR
222_hairhead,hair (head),2648,HAIR (HEAD)
223_haltstop,"halt, stop",2880,HALT (STOP)
224_handarm,"hand, arm",2121,ARM OR HAND
225_hard,hard,1884,HARD
226_hatch,hatch,3116,HATCH (OUT)
227_head,head,1256,HEAD
228_heart,heart,1223,HEART
229_hearthfireplace,"hearth, fireplace",185,FIREPLACE
230_heavy,heavy,1210,HEAVY
231_here,here,136,HERE
232_hide,hide,2486,HIDE
233_hold,hold,1448,HOLD
234_honey,honey,942,HONEY
235_horn,horn,1393,HORN (ANATOMY)
236_hornbill,hornbill,3260,HORNBILL
237_hornet,hornet,3261,HORNET
238_horse,horse,615,HORSE
239_horsefly,horsefly,3262,HORSEFLY
240_house,house,1252,HOUSE
241_howmany,how many,822,HOW MANY
242_humanbeing,human being,683,PERSON
243_humanbeingprefix,human being prefix,,
244_hungryvi,hungry (vi),1533,BE HUNGRY
245_hunter,hunter,1053,HUNTER
246_husband,husband,1200,HUSBAND
247_ice,ice,617,ICE
