ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS	MORPHEMES	C_STRUCTURE	PATTERNS
1	Khispi	1sg	1sg	ga	ga	g a		1	1	g a	i n	1	1sg	c c	245-4/g 104-30/a
2	Duhumbi	1sg	1sg	ga	ga	g a		1	1	g a	i n	1	1sg	c c	245-4/g 104-30/a
3	Khoina	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg	c c	245-4/g 104-30/a
4	Jerigaon	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg	c c	245-4/g 104-30/a
5	Khoitam	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg	c c	245-4/g 104-30/a
6	Rahung	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg	c c	245-4/g 104-30/a
7	Rupa	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg	c c	245-4/g 104-30/a
8	Shergaon	1sg	1sg	guː	guː	g uː		1	1	g uː	i n	1	1sg	c c	245-4/g 104-30/a
9	Khispi	2pl.excl	2pl.excl	na-lu	na+lu	n a + l u		3 2	3 2	n !a + l u	i n + i n	5 2	2pl _excl1	c c + c c	715-37/n 700-1/a + 606-1/ɹ 626-2/-
10	Duhumbi	2pl.excl	2pl.excl	na-ɹ	na+ɹ	n a + ɹ		3 2	3 2	n !a + ɹ -	i n + i	5 2	2pl _excl1	c c + c	715-37/n 700-1/a + 606-1/ɹ 626-2/-
14	Rahung	2pl.excl	2pl.excl	na-ryː	na+ryː	n a + r yː		3 2	3 2	n !a + !r/- yː	i n + i n	5 2	2pl _excl1	c c + c c	715-37/n 700-1/a + 606-1/ɹ 626-2/-
15	Rupa	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n !aː + b l u ŋ	i n + i m n c	5 1285	2pl _excl2	c c + c c c c	715-37/n 700-1/a + 694-32/b 98-38/l 183-38/ɔ 774-83/ŋ
16	Shergaon	2pl.excl	2pl.excl	naː-bluŋ	naː+bluŋ	n aː + b l u ŋ		3 1285	3 2	n !aː + b l u ŋ	i n + i m n c	5 1285	2pl _excl2	c c + c c c c	715-37/n 700-1/a + 694-32/b 98-38/l 183-38/ɔ 774-83/ŋ
17	Khispi	2pl.incl	2pl.incl	nal-tʰe	nal+tʰe	n a + l + tʰ e		5 4	5 4	n !a + l + tʰ e -	i n + i + i n	5 3 4	2pl _excl1 _incl1	c c + c + c c	715-37/n 700-1/a + 304-10/ɹ + 46-31/tʰ 651-2/eˀ 143-3/-
18	Duhumbi	2pl.incl	2pl.incl	naɹ-tʰeˀ	naɹ+tʰeˀ	n a + ɹ + tʰ eˀ		5 4	5 4	n !a + ɹ + tʰ eˀ -	i n + i + i n	5 3 4	2pl _excl1 _incl1	c c + c + c c	715-37/n 700-1/a + 304-10/ɹ + 46-31/tʰ 651-2/eˀ 143-3/-
19	Khoina	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n !a + tʰ i k	i n + i n c	5 4	2pl _incl1	c c + c c c	715-37/n 700-1/a + 46-31/tʰ 651-2/eˀ 143-3/-
20	Jerigaon	2pl.incl	2pl.incl	na-tʰik	na+tʰik	n a + tʰ i k		5 4	5 4	n !a + tʰ i k	i n + i n c	5 4	2pl _incl1	c c + c c c	715-37/n 700-1/a + 46-31/tʰ 651-2/eˀ 143-3/-
21	Khoitam	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n !a + tʰ ɛ k	i n + i n c	5 4	2pl _incl1	c c + c c c	715-37/n 700-1/a + 46-31/tʰ 651-2/eˀ 143-3/-
22	Rahung	2pl.incl	2pl.incl	na-tʰɛk	na+tʰɛk	n a + tʰ ɛ k		5 4	5 4	n !a + tʰ ɛ k	i n + i n c	5 4	2pl _incl1	c c + c c c	715-37/n 700-1/a + 46-31/tʰ 651-2/eˀ 143-3/-
23	Rupa	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n !aː + tʰ !i/iː k	i n + i n c	5 4	2pl _incl1	c c + c c c	715-37/n 700-1/a + 46-31/tʰ 651-2/eˀ 143-3/-
24	Shergaon	2pl.incl	2pl.incl	naː-tʰik	naː+tʰik	n aː + tʰ i k		5 4	5 4	n !aː + tʰ i k	i n + i n c	5 4	2pl _incl1	c c + c c c	715-37/n 700-1/a + 46-31/tʰ 651-2/eˀ 143-3/-
25	Khispi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg	c c c	715-37/n 633-69/a 774-83/ŋ
26	Duhumbi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg	c c c	715-37/n 633-69/a 774-83/ŋ
27	Khoina	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg	c c c	715-37/n 633-69/a 774-83/ŋ
28	Jerigaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg	c c c	715-37/n 633-69/a 774-83/ŋ
29	Khoitam	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg	c c c	715-37/n 633-69/a 774-83/ŋ
30	Rahung	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg	c c c	715-37/n 633-69/a 774-83/ŋ
31	Rupa	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg	c c c	715-37/n 633-69/a 774-83/ŋ
32	Shergaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg	c c c	715-37/n 633-69/a 774-83/ŋ
33	Khispi	3sg	3sg	wuj	wuj	w u j		7	7	w u j	i n c	7	3sg	c c c	542-2/w 614-3/ɔ 722-40/j
34	Duhumbi	3sg	3sg	wɔj	wɔj	w ɔ j		7	7	w ɔ j	i n c	7	3sg	c c c	542-2/w 614-3/ɔ 722-40/j
35	Khoina	3sg	3sg	laŋ-waː	laŋ+waː	l a ŋ + w aː		10 7	10 7	l a ŋ + w aː -	i n c + i n	10 7	? 3sg	c c c + c c	0/n 0/n 0/n + 542-2/w 614-3/ɔ 722-40/j
36	Jerigaon	3sg	3sg	waː	waː	w aː		7	7	w aː -	i n	7	3sg	c c	542-2/w 614-3/ɔ 722-40/j
37	Khoitam	3sg	3sg	waː-ʥi	waː+ʥi	w aː + dʑ i		7 9	7 9	w aː - + dʑ i	i n + i n	7 9	3sg _refl1	c c + c c	542-2/w 614-3/ɔ 722-40/j + 0/n 0/n
38	Rahung	3sg	3sg	hɛˀ ~ ɛˀ	hɛˀ	h ɛˀ		8	8	h ɛˀ	i n	8	3sg	c c	0/n 0/n
39	Rupa	3sg	3sg	waː	waː	w aː		7	7	w aː -	i n	7	3sg	c c	542-2/w 614-3/ɔ 722-40/j
40	Shergaon	3sg	3sg	waː	waː	w aː		7	7	w aː -	i n	7	3sg	c c	542-2/w 614-3/ɔ 722-40/j
603	Khoina	Bugun	Bugun	ʂə-luŋ	ʂə+luŋ	ʂ ə + l u ŋ		11 12	11 12	ʂ ə + l u ŋ	i n + i n c	11 12	bugun bugun	c c + c c c	124-31/ɕ 736-2/u + 98-38/l 183-38/ɔ 774-83/ŋ
606	Rahung	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s !u/ə + l u ŋ	i n + i n c	11 12	bugun bugun	c c + c c c	124-31/ɕ 736-2/u + 98-38/l 183-38/ɔ 774-83/ŋ
607	Rupa	Bugun	Bugun	sə-luŋ	sə+luŋ	s ə + l u ŋ		11 12	11 12	s ə + l u ŋ	i n + i n c	11 12	bugun bugun	c c + c c c	124-31/ɕ 736-2/u + 98-38/l 183-38/ɔ 774-83/ŋ
608	Shergaon	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s u + l u ŋ	i n + i n c	11 12	bugun bugun	c c + c c c	124-31/ɕ 736-2/u + 98-38/l 183-38/ɔ 774-83/ŋ
2041	Khispi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i + tɕʰ a	i n + i n	15 13	human-prefix indoaryanperson	c c + c c	519-3/b 649-32/i + 123-7/tɕʰ 104-30/a
2042	Duhumbi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i + tɕʰ a	i n + i n	15 13	human-prefix indoaryanperson	c c + c c	519-3/b 649-32/i + 123-7/tɕʰ 104-30/a
2043	Khoina	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə + tɕʰ uː	i n + i n	16 13	indoaryanperson indoaryanperson	c c + c c	692-2/Ø 555-9/u + 123-7/tɕʰ 104-30/a
2045	Khoitam	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə + tɕʰ uː	i n + i n	14 13	indoaryanperson indoaryanperson	c c + c c	637-13/kʰ 175-10/a + 123-7/tɕʰ 104-30/a
2046	Rahung	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə + tɕʰ uː	i n + i n	14 13	indoaryanperson indoaryanperson	c c + c c	637-13/kʰ 175-10/a + 123-7/tɕʰ 104-30/a
2047	Rupa	Indo-Aryan person	Indo-Aryan person	nə-ʨʰuː ~ də-ʨʰuː	nə+ʨʰuː	n ə + tɕʰ uː		16 13	16 13	n ə + tɕʰ uː	i n + i n	16 13	indoaryanperson indoaryanperson	c c + c c	692-2/Ø 555-9/u + 123-7/tɕʰ 104-30/a
2048	Shergaon	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə + tɕʰ uː	i n + i n	16 13	indoaryanperson indoaryanperson	c c + c c	692-2/Ø 555-9/u + 123-7/tɕʰ 104-30/a
2091	Khoina	Jerigaon people	Jerigaon people	də-ʨĩː-ʥi	də+ʨĩː+ʥi	d ə + tɕ ĩː + dʑ i		19 17 18	19 17 18	d ə + tɕ ĩː + dʑ i	i n + i n + i n	19 17 18	jerigaonpeople jerigaonpeople ji-suffix1	c c + c c + c c	761-25/d 769-3/ɔ + 669-2/ɕ 238-3/i + 519-3/b 440-2/a
2092	Jerigaon	Jerigaon people	Jerigaon people	kʰ-ʨĩː-ʥi	kʰ+ʨĩː+ʥi	kʰ + tɕ ĩː + dʑ i		20 17 18	20 17 18	kʰ + tɕ ĩː + dʑ i	i + i n + i n	20 17 18	jerigaonpeople jerigaonpeople ji-suffix1	c + c c + c c	0/n + 669-2/ɕ 238-3/i + 519-3/b 440-2/a
2095	Rupa	Jerigaon people	Jerigaon people	di-ʨʰi-ʥi	di+ʨʰi+ʥi	d i + tɕʰ i + dʑ i		19 17 18	19 17 18	d i + tɕʰ i + dʑ i	i n + i n + i n	19 17 18	jerigaonpeople jerigaonpeople ji-suffix1	c c + c c + c c	761-25/d 769-3/ɔ + 669-2/ɕ 238-3/i + 519-3/b 440-2/a
2113	Khispi	Khoitam people	Khoitam people	kʰus-tam-bi	kʰus+tam+bi	kʰ u s + t a m + b i		21 23 22	21 23 22	kʰ u s + t a m + b i	i n c + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1	c c c + c c c + c c	682-1/Ø 198-2/u 162-11/s + 112-24/t 633-69/a 354-44/m + 519-3/b 440-2/a
2115	Khoina	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - + t a m + dʑ i	i n + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1	c c + c c c + c c	682-1/Ø 198-2/u 162-11/s + 112-24/t 633-69/a 354-44/m + 519-3/b 440-2/a
2116	Jerigaon	Khoitam people	Khoitam people	kʰ-tam-ʥi	kʰ+tam+ʥi	kʰ + t a m + dʑ i		21 23 22	21 23 22	kʰ - - + t a m + dʑ i	i + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1	c + c c c + c c	682-1/Ø 198-2/u 162-11/s + 112-24/t 633-69/a 354-44/m + 519-3/b 440-2/a
2119	Rupa	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - + t a m + dʑ i	i n + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1	c c + c c c + c c	682-1/Ø 198-2/u 162-11/s + 112-24/t 633-69/a 354-44/m + 519-3/b 440-2/a
2120	Shergaon	Khoitam people	Khoitam people	ka-tam-ʥi	ka+tam+ʥi	k a + t a m + dʑ i		21 23 22	21 23 22	!k/kʰ !a/ə - + t a m + dʑ i	i n + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1	c c + c c c + c c	682-1/Ø 198-2/u 162-11/s + 112-24/t 633-69/a 354-44/m + 519-3/b 440-2/a
2499	Khoina	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u + n ɔ̃ː	i n + i n	25 24	? mijipeople	c c + c c	586-36/kʰ 183-38/ɔ + 715-37/n 464-6/a
2500	Jerigaon	Miji people	Miji people	kʰu-nɔ̃ː-ʥi	kʰu+nɔ̃ː+ʥi	kʰ u + n ɔ̃ː + dʑ i		25 24 26	25 24 26	kʰ u + n ɔ̃ː + dʑ i	i n + i n + i n	25 24 26	? mijipeople mijipeople	c c + c c + c c	586-36/kʰ 183-38/ɔ + 715-37/n 464-6/a + 0/n 0/n
2502	Rahung	Miji people	Miji people	kʰu-nũː(ŋ)	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u + n ũː	i n + i n	25 24	? mijipeople	c c + c c	586-36/kʰ 183-38/ɔ + 715-37/n 464-6/a
2503	Rupa	Miji people	Miji people	kʰu-nũː	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u + n ũː	i n + i n	25 24	? mijipeople	c c + c c	586-36/kʰ 183-38/ɔ + 715-37/n 464-6/a
2504	Shergaon	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u + n ɔ̃ː	i n + i n	25 24	? mijipeople	c c + c c	586-36/kʰ 183-38/ɔ + 715-37/n 464-6/a
2537	Khispi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m !ɔ n + p a	i n c + i n	30 28	monpa pa-suffix1	c c c + c c	354-44/m 270-1/ɔ 166-2/n + 327-8/p 753-2/a
2538	Duhumbi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m !ɔ n + p a	i n c + i n	30 28	monpa pa-suffix1	c c c + c c	354-44/m 270-1/ɔ 166-2/n + 327-8/p 753-2/a
