ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS	MORPHEMES	C_STRUCTURE	PATTERNS
2539	Khoina	Monpa	Monpa	ʥə-mɐ̃ː	ʥə+mɐ̃ː	dʑ ə + m ɐ̃ː		29 30	29 27	dʑ ə + m !ɐ̃ː -	i n + i n	29 30	monpa monpa	c c + c c	23-8/dʑ 215-2/i + 354-44/m 270-1/ɔ 166-2/n
2542	Rahung	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m !ɔ n + p a	i n c + i n	30 28	monpa pa-suffix1	c c c + c c	354-44/m 270-1/ɔ 166-2/n + 327-8/p 753-2/a
2543	Rupa	Monpa	Monpa	ʥə-mɔ̃ː	ʥə+mɔ̃ː	dʑ ə + m ɔ̃ː		29 30	29 27	dʑ ə + m !ɔ̃ː -	i n + i n	29 30	monpa monpa	c c + c c	23-8/dʑ 215-2/i + 354-44/m 270-1/ɔ 166-2/n
2544	Shergaon	Monpa	Monpa	ʥɔ-mɔ̃ː	ʥɔ+mɔ̃ː	dʑ ɔ + m ɔ̃ː		29 30	29 27	dʑ ɔ + m !ɔ̃ː -	i n + i n	29 30	monpa monpa	c c + c c	23-8/dʑ 215-2/i + 354-44/m 270-1/ɔ 166-2/n
2657	Khispi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m + ɕ !u + !p !a	i n c + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2	c c c + c c + c c	715-37/n 725-2/a 295-15/m + 363-1/ɕ 762-1/u + 54-1/p 268-1/a
2658	Duhumbi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m + ɕ !u + !p !a	i n c + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2	c c c + c c + c c	715-37/n 725-2/a 295-15/m + 363-1/ɕ 762-1/u + 54-1/p 268-1/a
2659	Khoina	Namshu people	Namshu people	na-ʦʰɔː-ʥi	na+ʦʰɔː+ʥi	n a + tsʰ ɔː + dʑ i		33 31 32	33 31 32	n a - + tsʰ !ɔː + !dʑ !i	i n + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2	c c + c c + c c	715-37/n 725-2/a 295-15/m + 363-1/ɕ 762-1/u + 54-1/p 268-1/a
2660	Jerigaon	Namshu people	Namshu people	nə-ʨo-ʥi	nə+ʨo+ʥi	n ə + tɕ o + dʑ i		33 31 32	33 31 32	n ə - + !tɕ/tɕʰ !o + !dʑ !i	i n + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2	c c + c c + c c	715-37/n 725-2/a 295-15/m + 363-1/ɕ 762-1/u + 54-1/p 268-1/a
2662	Rahung	Namshu people	Namshu people	pʰ-ʨʰoː-ʥi	pʰ+ʨʰoː+ʥi	pʰ + tɕʰ oː + dʑ i		33 31 32	34 31 32	!pʰ/n - - + tɕʰ !oː + !dʑ !i	i + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2	c + c c + c c	715-37/n 725-2/a 295-15/m + 363-1/ɕ 762-1/u + 54-1/p 268-1/a
3073	Khispi	Puroik	Puroik	bi-ɕ-taŋ	bi+ɕ+taŋ	b i + ɕ + t a ŋ		37 38 35	37 38 35	b i + ɕ + t a ŋ	i n + i + i n c	15 38 35	human-prefix puroik puroik	c c + c + c c c	519-3/b 649-32/i + 598-3/ɕ + 112-24/t 633-69/a 774-83/ŋ
3074	Duhumbi	Puroik	Puroik	bi-s-taŋ	bi+s+taŋ	b i + s + t a ŋ		37 38 35	37 38 35	b i + !s/ɕ + t a ŋ	i n + i + i n c	15 38 35	human-prefix puroik puroik	c c + c + c c c	519-3/b 649-32/i + 598-3/ɕ + 112-24/t 633-69/a 774-83/ŋ
3075	Khoina	Puroik	Puroik	ɕ-taŋ	ɕ+taŋ	ɕ + t a ŋ		38 35	36 35	ɕ + t a ŋ	i + i n c	38 35	puroik puroik	c + c c c	598-3/ɕ + 112-24/t 633-69/a 774-83/ŋ
3079	Rupa	Puroik	Puroik	s-taŋ	s+taŋ	s + t a ŋ		38 35	36 35	s + t a ŋ	i + i n c	38 35	puroik puroik	c + c c c	598-3/ɕ + 112-24/t 633-69/a 774-83/ŋ
3137	Khispi	Rahung, people of	Rahung, people of	la-pʰuŋ-bi	la+pʰuŋ+bi	l a + pʰ u ŋ + b i		41 40 39	42 40 39	l a + pʰ !u ŋ + b i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1	c c + c c c + c c	230-9/l 736-2/u + 467-23/pʰ 381-1/Ø 774-83/ŋ + 519-3/b 440-2/a
3139	Khoina	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə + pʰ !i ŋ + dʑ i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1	c c + c c c + c c	230-9/l 736-2/u + 467-23/pʰ 381-1/Ø 774-83/ŋ + 519-3/b 440-2/a
3140	Jerigaon	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə + pʰ !i ŋ + dʑ i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1	c c + c c c + c c	230-9/l 736-2/u + 467-23/pʰ 381-1/Ø 774-83/ŋ + 519-3/b 440-2/a
3143	Rupa	Rahung, people of	Rahung, people of	rə-pʰyŋ-ʥi	rə+pʰyŋ+ʥi	r ə + pʰ y ŋ + dʑ i		41 40 39	41 40 39	r ə + pʰ !y ŋ + dʑ i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1	c c + c c c + c c	230-9/l 736-2/u + 467-23/pʰ 381-1/Ø 774-83/ŋ + 519-3/b 440-2/a
3144	Shergaon	Rahung, people of	Rahung, people of	ru-pʰuŋ-ʥi	ru+pʰuŋ+ʥi	r u + pʰ u ŋ + dʑ i		41 40 39	41 40 39	r u + pʰ !u ŋ + dʑ i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1	c c + c c c + c c	230-9/l 736-2/u + 467-23/pʰ 381-1/Ø 774-83/ŋ + 519-3/b 440-2/a
3491	Khoina	Sherdukpen	Sherdukpen	tʰɔː-mø-ʥi	tʰɔː+mø+ʥi	tʰ ɔː + m ø + dʑ i		44 43 45	44 43 45	tʰ ɔː - + m !ø + dʑ i	i n + i n + i n	44 43 18	sherdukpen sherdukpen ji-suffix1	c c + c c + c c	46-31/tʰ 147-2/Ø 393-2/- + 354-44/m 272-1/Ø + 519-3/b 440-2/a
3492	Jerigaon	Sherdukpen	Sherdukpen	tʰɔ̃ŋ-ʥi  ~ tʰuwã-ʥi	tʰɔ̃ŋ+ʥi	tʰ ɔ̃ ŋ + dʑ i		44 45	44 46	tʰ ɔ̃ ŋ + dʑ i	i n c + i n	44 18	sherdukpen ji-suffix1	c c c + c c	46-31/tʰ 147-2/Ø 393-2/- + 519-3/b 440-2/a
3494	Rahung	Sherdukpen	Sherdukpen	tʰə-mø-ʥi	tʰə+mø+ʥi	tʰ ə + m ø + dʑ i		44 43 45	44 43 45	tʰ ə - + m !ø + dʑ i	i n + i n + i n	44 43 18	sherdukpen sherdukpen ji-suffix1	c c + c c + c c	46-31/tʰ 147-2/Ø 393-2/- + 354-44/m 272-1/Ø + 519-3/b 440-2/a
3495	Rupa	Sherdukpen	Sherdukpen	møˀ	møˀ	m øˀ		43	43	m !øˀ	i n	43	sherdukpen	c c	354-44/m 272-1/Ø
3496	Shergaon	Sherdukpen	Sherdukpen	meˀ	meˀ	m eˀ		43	43	m !eˀ	i n	43	sherdukpen	c c	354-44/m 272-1/Ø
3497	Khispi	Shergaon, people of	Shergaon, people of	ɕɛl-pi	ɕɛl+pi	ɕ ɛ l + p i		47 48	47 49	ɕ !ɛ l + !p !i	i n c + i n	47 48	shergaonpeopleof shergaonpeopleof	c c c + c c	124-31/ɕ 271-1/Ø 304-10/ɹ + 254-1/Ø 252-1/Ø
3499	Khoina	Shergaon, people of	Shergaon, people of	ʂɛ̃ː(n)-ʥi	ʂɛ̃ː+ʥi	ʂ ɛ̃ː + dʑ i		47 48	47 48	ʂ !ɛ̃ː - + !dʑ !i	i n + i n	47 48	shergaonpeopleof shergaonpeopleof	c c + c c	124-31/ɕ 271-1/Ø 304-10/ɹ + 254-1/Ø 252-1/Ø
3500	Jerigaon	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s !ɛ̃ː - + !dʑ !i	i n + i n	47 48	shergaonpeopleof shergaonpeopleof	c c + c c	124-31/ɕ 271-1/Ø 304-10/ɹ + 254-1/Ø 252-1/Ø
3502	Rahung	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s !ɛ̃ː - + !dʑ !i	i n + i n	47 48	shergaonpeopleof shergaonpeopleof	c c + c c	124-31/ɕ 271-1/Ø 304-10/ɹ + 254-1/Ø 252-1/Ø
3503	Rupa	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s !ɛ̃ː - + !dʑ !i	i n + i n	47 48	shergaonpeopleof shergaonpeopleof	c c + c c	124-31/ɕ 271-1/Ø 304-10/ɹ + 254-1/Ø 252-1/Ø
4145	Khispi	Thembang people	Thembang people	tʰje-maŋ-bi	tʰje+maŋ+bi	tʰ j e + m a ŋ + b i		50 51 52	50 51 52	tʰ j e - + m a ŋ + b i	i m n + i n c + i n	50 51 18	thembangpeople thembangpeople ji-suffix1	c c c + c c c + c c	46-31/tʰ 404-3/- 463-3/ɛ 359-2/m + 778-2/b 633-69/a 774-83/ŋ + 519-3/b 440-2/a
4146	Duhumbi	Thembang people	Thembang people	tʰɛm-baŋ-pa	tʰɛm+baŋ+pa	tʰ ɛ m + b a ŋ + p a		50 51 52	50 51 52	tʰ - ɛ m + b a ŋ + !p/b a	i n c + i n c + i n	50 51 18	thembangpeople thembangpeople ji-suffix1	c c c + c c c + c c	46-31/tʰ 404-3/- 463-3/ɛ 359-2/m + 778-2/b 633-69/a 774-83/ŋ + 519-3/b 440-2/a
4147	Khoina	Thembang people	Thembang people	tʰɛm-baŋ-ʥi	tʰɛm+baŋ+ʥi	tʰ ɛ m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - ɛ m + b a ŋ + dʑ i	i n c + i n c + i n	50 51 18	thembangpeople thembangpeople ji-suffix1	c c c + c c c + c c	46-31/tʰ 404-3/- 463-3/ɛ 359-2/m + 778-2/b 633-69/a 774-83/ŋ + 519-3/b 440-2/a
4148	Jerigaon	Thembang people	Thembang people	tʰəbang-ʥi	tʰəbaŋ+ʥi	tʰ ə + b a ŋ + dʑ i	!modified this from "ng" to "ŋ" @lingulist	54 53	54 53	tʰ ə + b a ŋ	i n + i n c + i n	54 53	thembangpeople thembangpeople	c c + c c c + c c	0/n 0/n + 0/n 0/n 0/n
4150	Rahung	Thembang people	Thembang people	tʰam-baŋ-ʥi	tʰam+baŋ+ʥi	tʰ a m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - a m + b a ŋ + dʑ i	i n c + i n c + i n	50 51 18	thembangpeople thembangpeople ji-suffix1	c c c + c c c + c c	46-31/tʰ 404-3/- 463-3/ɛ 359-2/m + 778-2/b 633-69/a 774-83/ŋ + 519-3/b 440-2/a
41	Khispi	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	_ablative	c c	509-1/l 287-20/ɔ
42	Duhumbi	ablative	ablative	-lɔˀ	+lɔˀ	l ɔˀ		55	55	l !ɔˀ/ɔ	i n	55	_ablative	c c	509-1/l 287-20/ɔ
43	Khoina	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	_ablative	c c	509-1/l 287-20/ɔ
44	Jerigaon	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	_ablative	c c	509-1/l 287-20/ɔ
45	Khoitam	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	_ablative	c c	509-1/l 287-20/ɔ
