NUMBER	ENGLISH
385	Puroik
386	pus
387	push
388	put
389	quarrel (v)
390	question 
391	quiver
392	radish
393	Rahung, people of
394	rain (n)
395	rainbow
396	reap 
397	recognise
398	red
399	reflexive marker
400	rest (n)
401	rib
402	rice, husked
403	rice, unhusked, paddy 
404	ride, mount 
405	right 
406	ripe
407	roof
408	root
409	rope
410	rot (vi)
411	round, small object 
412	rub 
413	rub; sharpen
414	run
415	sago
416	saliva
417	salt
418	same, equal
419	sand
420	say
421	scratch1
422	scratch2
423	search
424	see
425	seed
426	serow 
427	settle 
428	seven
429	sew
430	shade
431	shake1 
432	shake2
433	sharp1 
434	sharp2
435	sheep
436	shelf 
437	Sherdukpen 
438	Shergaon, people of
439	shoe, footwear
440	shoot  
441	short 
442	shoulder 
443	shy, ashamed (vi)
444	sick (vi)
445	silver
446	sing
447	sister-in-law
448	sister, elder
449	sister, younger1 
450	sister, younger2 
451	sit
452	six
453	skin, bark
454	sky 
455	sleep
456	slowly
457	small1 
458	small2 
459	smell (n)
460	smell1 (vi)
461	smell2 (vi)
462	smoke
463	snake
464	snatch away
465	snow
466	soda ash
467	soft / smooth
468	soil, earth 
469	son
470	son-in-law
471	song1 
472	song2 
473	soup, liquid, broth, juice
474	sour
475	sow, broadcast1
476	sow, broadcast2
477	soybean 
478	sparrow
479	speak
480	spear
481	spicy, pungent
482	spider
483	spirit, soul, shadow 
484	spit
485	spittle, spit
486	split1 
487	split2 
488	squirrel 
489	squirrel, flying
490	stab
491	stand (up)
492	star
493	steal 
494	steam
495	stich
496	stick
497	stone
498	story
499	straight
500	stump (tree)
501	suck1
502	suck2
503	sugarcane
504	sun, day 
505	swallow
506	sweet
507	swell
508	tail 
509	take 
510	takin 
511	taro 
512	tasty
513	tear (vt)
514	tell
515	ten
516	that
517	that side
518	that side
519	Thembang people
520	thick
521	thief
522	thigh
523	thin
524	thing
525	think
526	thirsty (vi)
527	this
528	thorn
529	thousand
530	thread
531	three
532	throw
533	thunder (vi) 
534	tie (vt)
535	tiger
536	till (hoe)
537	tired (vi)
538	today
539	together with
540	tomorrow
541	tongue
542	tooth
543	trivet
544	trunk (tree)
545	tuber 
546	tusk
547	twenty
548	twist
549	two
550	under, below
551	up there1 
552	up there2 
553	up; ascend
554	uproot
555	urine
556	vagina
557	vegetable, leafy 
558	veranda
559	village 
560	vomit
561	waist
562	wait1
563	wait2
564	wake up
565	walk, move, go
566	walking stick
567	walnut
568	warm, hot (adj.)
569	warm, hot (vi)
570	wash1
571	wash2
572	water
573	wealthy
574	wear 
575	weave 
576	weed, grass
577	wet1
578	wet2
579	wheat
580	when
581	where
582	white
583	who
584	wife
585	wind
586	window
587	wing
588	wipe
589	woman
590	wood
591	wool
592	word
593	work
594	wring, squeeze
595	year
596	year, next
597	year, this
598	yellow
599	yesterday
