ID	FREQUENCY	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon	COGIDS	CONCEPTS
1	12	ʑ	z	ʑ	ʐ	z	z	z	z	77:0, 90:0, 100:0, 205:0, 321:0, 493:0, 602:0, 844:0, 896:0, 963:0, 1066:0, 1089:0	angry (vi) / attic / bad / dirty / grind, pound / laugh / melt / quiver / rub; sharpen / sister-in-law / star / suck
2	4	ʑ	z	ʑ	z	z	z	z	z	598:0, 1114:0, 1195:0, 1246:0	langur / tear (vt) / urine / white
3	1	ʑ	dʑ	Ø	dz	dʑ	dʑ	dz	dʑ	186:0	buckwheat, bitter
4	1	ʑ	dʑ	ʑ	dʑ	dʑ	dʑ	dʑ	dʑ	667:0	man
5	1	ʑ	j	ʑ	j	j	j	j	j	994:0	snow
1	3	ɹ	l	l	h	l	r	l	l	2:0, 777:0, 853:0	2pl.excl / palm, sole / rainbow
1	5	ɲ	n	ɲ	n	n	n	ɲ	ɲ	164:0, 171:0, 206:0, 1102:0, 1189:0	brain / breast, milk / cat / tail / two
2	3	ɲ	n	ɲ	n	n	n	n	n	687:0, 1160:0, 1259:0	millet, broomcorn / millet, foxtail / tiger / wing
3	1	ɲ	Ø	ɲ	ɲ	n	n	j	Ø	791:0	patient marker
4	1	ɲ	l	ɲ	l	l	l	l	-	338:0	drink
5	1	ɲ	Ø	Ø	r	Ø	n	ɲ	Ø	495:0	gum
1	2	ɬ	r	Ø	r	l	r	l	l	367:0, 419:0	elbow / flame
1	31	ɕ	s	ɕ	ʂ	s	s	s	s	11:0, 47:0, 153:0, 207:0, 258:0, 282:0, 307:0, 310:0, 347:0, 372:0, 374:0, 379:0, 389:0, 440:0, 472:0, 494:0, 513:0, 538:0, 683:0, 693:0, 779:0, 803:0, 805:0, 871:0, 932:0, 969:0, 984:0, 1022:0, 1029:0, 1058:0, 1115:0	Bugun / Shergaon, people of / boar, wild / cattle, cow / comparative degree / dance / deer, barking / elephant / exit / forest / gum / heart / horse / lie (n) / meet / mithun / pangolin / pig / pillow / pumpkin / quarrel (v) / rice, unhusked, paddy / serow / sheep / skin, bark / smell (n) / soybean / speak / squirrel / tell / wet
2	5	ɕ	tɕʰ	ɕ	tsʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	199:0, 434:0, 465:0, 473:0, 923:0	buy / fly (vi) / gall, bile / give / sew
3	3	ɕ	s	ɕ	s	s	s	s	s	159:0, 174:0, 561:0	bone / brain / bridge, hanging / hunter
4	3	ɕ	s	ɕ	ɕ	s	s	s	s	115:0, 828:0, 888:0	bear / liver / pulse / rope
5	2	ɕ	tɕʰ	ɕ	tsʰ	tɕʰ	tɕʰ	tsʰ	tɕʰ	240:0, 505:0	cliff, ravine / fall
6	2	ɕ	tɕ	ɕ	ts	tɕ	tɕ	ts	tɕ	661:0, 876:0	maize / right
7	2	ɕ	z	tɕʰ	ʐ	z	z	z	z	656:0, 1177:0	macaque / trivet
8	2	ɕ	tɕ	tɕʰ	tɕ	tɕʰ	tɕʰ	tɕʰ	Ø	17:0, 1224:0	Jerigaon people / wealthy
9	1	ɕ	s	ɕ	ʂ	z	s	s	s	821:0	porcupine
10	1	ɕ	tɕ	ɕ	tsʰ	tɕʰ	tɕʰ	Ø	Ø	31:0	Namshu people
11	1	ɕ	z	ɕ	ʐ	z	z	z	z	502:0	hair (head)
12	1	ɕ	s	ɕ	x	s	s	s	s	678:0	meat, animal
13	1	ɕ	s	ɕ	ʂ	s	s	s	ɕ	446:0	four
14	1	ɕ	z	ɕ	z	z	Ø	z	Ø	597:0	langur
