NUMBER	ENGLISH
397	ripe
398	roof
399	root
400	rope
401	rot (vi)
402	round, small object
403	rub
404	rub; sharpen
405	run
406	sago
407	saliva
408	salt
409	same, equal
410	sand
411	say
412	scratch
413	search
414	see
415	seed
416	serow
417	settle
418	seven
419	sew
420	shade
421	shake
422	sharp
423	sheep
424	shelf
425	Sherdukpen
426	Shergaon, people of
427	shoe, footwear
428	shoot
429	short
430	shoulder
431	shy, ashamed (vi)
432	sick (vi)
433	silver
434	sing
435	sister-in-law
436	sister, elder
437	sister, younger
438	sit
439	six
440	skin, bark
441	sky
442	sleep
443	slowly
444	small
445	smell (n)
446	smell1 (vi)
447	smell2 (vi)
448	smoke
449	snake
450	snatch away
451	snow
452	soda ash
453	soft / smooth
454	soil, earth
455	son
456	son-in-law
457	song
458	soup, liquid, broth, juice
459	sour
460	sow, broadcast
461	soybean
462	sparrow
463	speak
464	spear
465	spicy, pungent
466	spider
467	spirit, soul, shadow
468	spit
469	spittle, spit
470	split
471	squirrel
472	squirrel, flying
473	stab
474	stand (up)
475	star
476	steal
477	steam
478	stich
479	stick
480	stone
481	story
482	straight
483	stump (tree)
484	suck
485	sugarcane
486	sun, day
487	swallow
488	sweet
489	swell
490	tail
491	take
492	takin
493	taro
494	tasty
495	tear (vt)
496	tell
497	ten
498	that
499	that side
500	Thembang people
501	thick
502	thief
503	thigh
504	thin
505	thing
506	think
507	thirsty (vi)
508	this
509	thorn
510	thousand
511	thread
512	three
513	throw
514	thunder (vi)
515	tie (vt)
516	tiger
517	till (hoe)
518	tired (vi)
519	today
520	together with
521	tomorrow
522	tongue
523	tooth
524	trivet
525	trunk (tree)
526	tuber
527	tusk
528	twenty
529	twist
530	two
531	under, below
532	up there
533	up; ascend
534	uproot
535	urine
536	vagina
537	vegetable, leafy
538	veranda
539	village
540	vomit
541	waist
542	wait
543	wake up
544	walk, move, go
545	walking stick
546	walnut
547	warm, hot (adj.)
548	warm, hot (vi)
549	wash
550	water
551	wealthy
552	wear
553	weave
554	weed, grass
555	wet
556	wheat
557	when
558	where
559	white
560	who
561	wife
562	wind
563	window
564	wing
565	wipe
566	woman
567	wood
568	wool
569	word
570	work
571	wring, squeeze
572	year
573	year, next
574	year, this
575	yellow
576	yesterday
