NUMBER	ENGLISH
1	1sg
2	2pl.excl
3	2pl.incl
4	2sg
5	3sg
6	ablative
7	above, top
8	achieve, obtain
9	aconite
10	after
11	afternoon
12	agent
13	alive, healthy
14	all
15	allative
16	amaranth
17	angry (vi)
18	ant
19	arrive
20	arrow
21	ascend
22	ash
23	ask
24	associative
25	attic
26	axe
27	back (n)
28	back (wards)
29	bad
30	bamboo
31	banana
32	barley
33	bastard
34	bat
35	beans
36	bear
37	beat, hit
38	beautiful
39	bee
40	beer filter
41	beer strainer
42	behind
43	belly, abdomen
44	belt
45	big
46	bind (v)
47	bird
48	bite
49	bitter (vi)
50	black
51	blood
52	blow
53	blow (wind)
54	boar, wild
55	boil  (water)
56	boil (n)
57	bone
58	borrow
59	bow
60	brain
61	branch
62	break
63	breast, milk
64	breath
65	bridge
66	bridge, hanging
67	bring
68	brother (elder)
69	brother-in-law
70	brother, younger
71	buckwheat, bitter
72	buckwheat, sweet
73	buffalo
74	Bugun
75	burn (vi)
76	burn, roast (vt)
77	butter
78	butterfly
79	buy
80	call for
81	cane
82	cap, hat
83	carry
84	cat
85	cattle, cow
86	cave
87	charcoal
88	chest
89	chew
90	chicken
91	child
92	chili
93	chin
94	civet or spotted wild cat
95	civet, palm
96	clean
97	cliff, ravine
98	clitoris
99	clothing
100	cloud, mist, fog
101	cockroach
102	cold
103	cold (vi)
104	comb
105	come
106	comparative degree
107	cook
108	copula, existential
109	copula, negative
110	corpse
111	cotton
112	cough (vi)
113	count
114	cover (v)
115	creeper, vine
116	crow
117	cry
118	cucumber
119	curcuma sp.
120	cure (vi)
121	cut
122	dance
123	daughter
124	daughter-in-law
125	day after tomorrow
126	day after two days
127	day before two days
128	day before yesterday
129	deaf
130	deep
131	deer, barking
132	deer, sambar
133	defeat (vi)
134	deity, ghost
135	descend
136	die
137	dig
138	dirty
139	disease
140	do
141	dog
142	dog, wild
143	door
144	down
145	down (visible)
146	dragon, thunder, lightning
147	dream (n)
148	drink
149	dry (adj.)
150	dry, dry up (v.i.)
151	dual
152	eagle, buzzard
153	ear
154	earthworm
155	eat
156	egg
157	eggplant
158	eight
159	elbow
160	elephant
161	empty
162	excrement
163	excrete
164	exit
165	eye
166	face
167	falcon
168	fall
169	far
170	fast
171	fat (n)
172	father
173	fear (vi)
174	female
175	fence
176	fern, fiddlehead
177	fetch
178	few, little
179	field
180	finger
181	fire
182	fire prefix
183	fish
184	five
185	flame
186	flee
187	float
188	flour
189	flow
190	fly (n)
191	fly (vi)
192	fodder
193	food
194	forehead
195	forest
196	forget
197	four
198	friend
199	frog
200	frost
201	fruit
202	frying pan
203	full
204	gall, bile
205	garden
206	garlic
207	give
208	go
209	goat
210	goitre
211	gold
212	good
213	goral
214	gourd
215	grandfather
216	grandmother
217	green
218	grind, pound
219	gum
220	hail
221	hair (body): feather
222	hair (head)
223	halt, stop
224	hand, arm
225	hard
226	hatch
227	head
228	heart
229	hearth, fireplace
230	heavy
231	here
232	hide
233	hold
234	honey
235	horn
236	hornbill
237	hornet
238	horse
239	horsefly
240	house
241	how many
242	human being
243	human being prefix
244	hungry (vi)
245	hunter
246	husband
247	ice
248	imperative
249	in
250	Indo-Aryan person
251	insect
252	intestines
253	iron
254	itch
255	jackal
256	Jerigaon people
257	jump
258	keep, remain
259	Khoitam people
260	kick (v)
261	kill
262	kiss (n)
263	knee
264	know
265	ladder
266	language
267	langur
268	lap
269	late (vi)
270	laugh
271	leaf
272	leaf litter
273	leech, land
274	leech, water
275	left (side)
276	leg
277	lick
278	lie (n)
279	lift completely, carry
280	light
281	lightning
282	like, love
283	liquor
284	listen, heed
285	live, stay
286	liver
287	load (n)
288	locative
289	long
290	look
291	louse
292	lungs
293	macaque
294	machete
295	maize
296	make
297	male
298	man
299	manure
300	marrow
301	marten
302	meat, animal
303	medicine
304	meet
305	melt
306	middle / centre
307	Miji people
308	millet, broomcorn
309	millet, finger
310	millet, foxtail
311	mithun
312	Monpa
313	moon, month
314	morning
315	mortar (wood)
316	mother
317	mountain
318	mountain peak
319	mouse, rat
320	mouth
321	much
322	mud
323	mushroom
324	naga, serpent deity
325	nail
326	name
327	Namshu people
328	navel
329	neck
330	need to, have to
331	needle
332	negative prefix
333	nest, hive, womb
334	net for fishing
335	new
336	night
337	nine
338	nomen agentis
339	nominaliser
340	noon
341	nose
342	oil
343	okay
344	old
345	one
346	other
347	otter
348	outside
349	palm, sole
350	pangolin
351	partridge
352	path, road
353	patient marker
354	peas
355	penis
356	pheasant, kalij
357	pheasant, tragopan
358	pig
359	pillow
360	pinch
361	pine kindle
362	plait
363	plant  (vt)
364	play
365	plough (v)
366	plural
367	poison
368	porcupine
369	potato-bean
370	pour
371	present
372	prohibitive prefix
373	pull
374	pulse
375	pumpkin
376	Puroik
377	pus
378	push
379	put
380	quarrel (v)
381	question
382	quiver
383	radish
384	Rahung, people of
385	rain (n)
386	rainbow
387	reap
388	recognise
389	red
390	reflexive marker
391	rest (n)
392	rib
393	rice, husked
394	rice, unhusked, paddy
395	ride, mount
396	right
