a	^	400	sharp	sharp / bad / son-in-law / when / mother / brother-in-law / grandmother / father / brother (elder) / sister-in-law / good / male / white / in / black / name / long / fat (n) / empty / wife / thick / branch / intestines / pus / far / big / fast / leaf / straight / old / hair (body): feather / tail / seed / heavy / husband / gall, bile / much / right / tasty / warm, hot (adj.) / cold / hard / son / brother, younger / brain / female / child / egg / marrow / all / dirty / daughter-in-law / other / few, little / sister, elder / full / new / sister, younger / deep / wet / spirit, soul, shadow / grandfather / above, top / yellow / sweet / liver / clean / alive, healthy / ripe / same, equal / middle / centre / small / outside / bitter (vi) / rest (n) / root / forest / soup, liquid, broth, juice / steam / left (side) / where / how many / rice, unhusked, paddy / meat, animal / flame / sour / thin / bone / red
n ə	^	59	sun, day	sun, day / flour / night / millet, foxtail / sky / millet, broomcorn / nose / wind / snow / rain (n) / tooth / morning / mouth / rice, unhusked, paddy / child / wing / dragon, thunder, lightning / otter / path, road / Indo-Aryan person / chin / neck / hail / lightning
a		56	soft / smooth	soft / smooth / light / small / short / thin / round, small object / slowly / outside / sister, younger / finger / deep / beautiful / bee / where / tasty / all / soup, liquid, broth, juice / sister-in-law / hungry (vi) / meat, animal / how many / alive, healthy
s	^	55	mouse, rat	mouse, rat / bear / boar, wild / horse / lie (n) / sheep / skin, bark / bone / soybean / pillow / cattle, cow / elephant / heart / deer, barking / liver / cloud, mist, fog / Puroik / that / rope / civet, palm / pig
m ə	^	52	walnut	walnut / sister, younger / belt / radish / fruit / banana / deity, ghost / tomorrow / forehead / thing / eggplant / sugarcane / maize / amaranth / flour / cucumber / wheat / wing / chest / charcoal / jackal
d u		42	soft / smooth	soft / smooth / light / thin / small / short / slowly / beautiful / civet or spotted wild cat / finger / push / son / tasty / trivet / sister, younger
u	^	39	sharp	sharp / spirit, soul, shadow / black / wife / bad / wet / warm, hot (adj.) / heavy / male / long / right / daughter-in-law / female / clean / leaf / son / beautiful / new / alive, healthy / outside / husband
ɔ	^	38	green	green / dry (adj.) / fat (n) / cold / old / red / new / that side / big / brother, younger / soup, liquid, broth, juice / middle / centre / tasty / thick / egg / outside / spirit, soul, shadow / this / good / alive, healthy
dʑ i		37	other	other / reflexive marker / human being prefix / Khoitam people / Rahung, people of / Jerigaon people / Namshu people / Sherdukpen / Thembang people / all / Miji people
s ə	^	35	serow	serow / belly, abdomen / heart / porcupine / mithun / deer, barking / gum / buffalo / bone / goral / goat / Bugun / brain / takin / leaf litter / mouth / skin, bark / civet, palm
ɕ a	^	32	bear	bear / porcupine / bone / goral / mithun / serow / brain / soybean / boar, wild / skin, bark / hunter / langur / pig / sheep / deer, sambar / liver / small / macaque / gall, bile
kʰ	^	29	head	head / mud / millet, finger / cap, hat / frying pan / wet / soda ash / ear / gourd / buckwheat, sweet / friend / thirsty (vi) / sand
n a m	^	29	moon, month	moon, month / frost / cat / night / wind / snow / tomorrow / lightning / rain (n) / shake
dʑ ə	^	28	woman	woman / man / human being / buckwheat, bitter / Monpa / bat / buffalo / deep / deer, sambar / goral / goat
b a	$	27	ripe	ripe / spicy, pungent / stump (tree) / peas / full / moon, month / sour / beans / manure / father / same, equal / frost / pheasant, tragopan / cotton / leaf litter
d ə	^	26	daughter	daughter / bastard / nine / goitre / Indo-Aryan person / hornet / fodder / trivet / hornbill / star / behind / liver / vegetable, leafy / mouth / after
b ə	^	25	thorn	thorn / snake / fly (n) / wheat / eagle, buzzard / pheasant, kalij / dog / chicken / left (side) / tomorrow / crow / four / charcoal
pʰ	^	24	snake	snake / dog / chicken / leech, water / thing / eggplant / fly (n) / wet / neck / sugarcane / rain (n) / banana / tooth / maize
g ə	^	21	hair (head)	hair (head) / walking stick / millet, finger / buckwheat, sweet / cap, hat / ear / brother (elder) / boil (n) / mud
l a		21	kick (v)	kick (v) / mountain / deity, ghost / horsefly / knee / trunk (tree) / fetch / leg / palm, sole / Rahung, people of
