NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	1sg	1209	I	2
2	2pl.excl		???	
3	2pl.incl		???	
4	2sg	1215	THOU	2
5	3sg	262	HE OR SHE OR IT	2
6	ablative		???	
#<<<				
7	above, top	1591	UP	4
7	above, top	3036	TREETOP	4
7	above, top	1741	ABOVE	4
7	above, top	1753	TOP	4
7	above, top	2379	UP OR ABOVE	4
#>>>				
8	achieve, obtain	694	GET	4
9	aconite		???	
10	after	1685	AFTER	2
11	afternoon	1807	AFTERNOON	2
12	agent		???	
#<<<				
13	alive, healthy 	1364	HEALTHY	4
13	alive, healthy 	1422	BE ALIVE	4
#>>>				
14	all	98	ALL	2
15	allative		???	
16	amaranth		???	
#<<<				
17	angry (vi)	2223	BE ANGRY	4
17	angry (vi)	1826	ANGRY	4
#>>>				
18	ant	587	ANT	2
19	arrive	1387	ARRIVE	2
20	arrow	977	ARROW	2
21	ascend	705	GO UP (ASCEND)	2
22	ash	646	ASH	2
23	ask	1309	ASK (INQUIRE)	2
24	associative 		???	
25	attic		???	
26	axe	677	AXE	2
#<<<				
27	back (n)	1291	BACK	4
27	back (n)	1482	SHOULDER	4
27	back (n)	2910	BACK (DIRECTION)	4
27	back (n)	2323	BACK (PART)	4
#>>>				
#<<<				
28	back (wards) 	1291	BACK	4
28	back (wards) 	1482	SHOULDER	4
28	back (wards) 	2910	BACK (DIRECTION)	4
28	back (wards) 	2323	BACK (PART)	4
#>>>				
29	bad1		???	
30	bad2		???	
31	bamboo	1927	BAMBOO	2
#<<<				
32	banana 	399	PLANTAIN	4
32	banana 	868	BANANA	4
#>>>				
#<<<				
33	barley 	932	BARLEY	4
33	barley 	3079	HIGHLAND BARLEY	4
#>>>				
34	bastard	1947	BASTARD	2
35	bat	1793	BAT	2
36	beans	832	BEAN	2
37	bear	1820	BEAR	2
#<<<				
38	beat, hit	2133	STRIKE OR BEAT	4
38	beat, hit	1433	HIT	4
38	beat, hit	354	POUND	4
38	beat, hit	2740	BEAT (CLASSIFIER)	4
38	beat, hit	1665	BEAT	4
38	beat, hit	111	DRUMMING	4
#>>>				
