NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
39	beautiful	1427	BEAUTIFUL	2
40	bee	665	BEE	2
41	beer filter		???	
42	beer strainer		???	
43	behind	1686	BEHIND	2
#<<<				
44	belly, abdomen	1251	BELLY	4
44	belly, abdomen	819	STOMACH	4
44	belly, abdomen	2114	BELLY OR STOMACH	4
#>>>				
45	belt	772	BELT	2
46	big 	1202	BIG	4
47	bind (v)	1917	TIE	3
48	bird	937	BIRD	2
49	bite	1403	BITE	2
50	bitter (vi)	887	BITTER	4
51	black	163	BLACK	2
52	blood	946	BLOOD	2
#<<<				
53	blow 	175	BLOW (OF WIND)	4
53	blow 	176	BLOW (WITH MOUTH)	4
53	blow 	2679	BLOW (WITH NOSE)	4
#>>>				
54	blow (wind)	175	BLOW (OF WIND)	2
#<<<				
55	boar, wild 	1348	BOAR	4
55	boar, wild 	2230	UNTAMED OR WILD	4
55	boar, wild 	1208	CAT	4
#>>>				
#<<<				
56	boil  (water)	792	BOIL (OF LIQUID)	4
56	boil  (water)	1100	COOK (SOMETHING)	4
56	boil  (water)	793	BOIL (OF SKIN)	4
56	boil  (water)	2492	BOIL (SOMETHING)	4
56	boil  (water)	2493	BOIL	4
56	boil  (water)	1809	PIMPLE	4
#>>>				
#<<<				
57	boil (n)	792	BOIL (OF LIQUID)	4
57	boil (n)	1100	COOK (SOMETHING)	4
57	boil (n)	793	BOIL (OF SKIN)	4
57	boil (n)	2492	BOIL (SOMETHING)	4
57	boil (n)	2493	BOIL	4
57	boil (n)	1809	PIMPLE	4
#>>>				
58	bone	1394	BONE	2
59	borrow1 		???	
60	borrow2 		???	
61	bow	994	BOW	2
62	brain	1583	BRAIN	2
63	branch	1531	BRANCH	2
#<<<				
64	break	680	BREAK (DESTROY OR GET DESTROYED)	2
64	break	2558	BREAK (CLEAVE)	2
#>>>				
#<<<				
65	breast, milk 	93	DRAW MILK	4
65	breast, milk 	1836	VAGINA	4
65	breast, milk 	635	MILK	4
65	breast, milk 	1592	CHEST	4
65	breast, milk 	2472	SUCKLE (BREASTFEED, NURSE)	4
65	breast, milk 	2129	BREAST OR MILK	4
65	breast, milk 	1402	BREAST	4
#>>>				
66	breath	870	BREATH	2
67	bridge	1011	BRIDGE	2
#<<<				
68	bridge, hanging	2733	BRIDGE (CLASSIFIER)	4
68	bridge, hanging	1011	BRIDGE	4
#>>>				
69	bring	692	BRING	2
70	brother (elder)	1759	OLDER BROTHER	2
71	brother-in-law	2314	BROTHER-IN-LAW	2
#<<<				
72	brother, younger 	3038	SAME-SEX YOUNGER SIBLING	4
72	brother, younger 	2414	OLDER BROTHER (OF MAN)	4
72	brother, younger 	559	BROTHER (OF MAN)	4
72	brother, younger 	2415	OLDER BROTHER (OF WOMAN)	4
72	brother, younger 	560	BROTHER (OF WOMAN)	4
72	brother, younger 	1759	OLDER BROTHER	4
72	brother, younger 	3040	DIFFERENT-SEX YOUNGER SIBLING	4
72	brother, younger 	2416	YOUNGER BROTHER (OF MAN)	4
72	brother, younger 	2417	YOUNGER BROTHER (OF WOMAN)	4
72	brother, younger 	1760	YOUNGER BROTHER	4
72	brother, younger 	1262	BROTHER	4
72	brother, younger 	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	4
#>>>				
#<<<				
73	buckwheat, bitter 	887	BITTER	4
73	buckwheat, bitter 	2040	BUCKWHEAT	4
#>>>				
#<<<				
74	buckwheat, sweet 	717	SWEET	4
74	buckwheat, sweet 	2040	BUCKWHEAT	4
#>>>				
75	buffalo	934	BUFFALO	2
76	Bugun 		???	
#<<<				
77	burn (vi)	141	BURN (SOMETHING)	4
77	burn (vi)	2102	BURN	4
77	burn (vi)	1428	BURNING	4
77	burn (vi)	737	LIGHT (IGNITE)	4
77	burn (vi)	1962	ROAST (SOMETHING)	4
#>>>				
#<<<				
78	burn, roast (vt)	141	BURN (SOMETHING)	4
78	burn, roast (vt)	2102	BURN	4
78	burn, roast (vt)	1428	BURNING	4
78	burn, roast (vt)	737	LIGHT (IGNITE)	4
78	burn, roast (vt)	2145	ROAST (DEVICE)	4
78	burn, roast (vt)	1962	ROAST (SOMETHING)	4
78	burn, roast (vt)	2146	ROAST OR FRY	4
#>>>				
79	butter	1245	BUTTER	2
80	butterfly	1791	BUTTERFLY	2
#<<<				
81	buy	2135	TRADE OR BARTER	2
81	buy	1869	BUY	2
#>>>				
82	call for		???	
83	cane	146	SUGAR CANE	2
#<<<				
84	cap, hat	2130	HEADGEAR	4
84	cap, hat	1288	CAP	4
84	cap, hat	2730	HAT (CLASSIFIER)	4
84	cap, hat	771	HAT	4
84	cap, hat	2319	LID (COVER, CAP)	4
84	cap, hat	1680	HELMET	4
#>>>				
#<<<				
85	carry 	413	CARRY ON SHOULDER	4
85	carry 	1123	PREGNANT	4
85	carry 	700	CARRY	4
85	carry 	412	CARRY IN HAND	4
85	carry 	465	CARRY ON BACK	4
#>>>				
86	cat	1208	CAT	2
#<<<				
87	cattle, cow	1153	CATTLE	4
87	cattle, cow	2168	COW (CLASSIFIER)	4
87	cattle, cow	1007	COW	4
87	cattle, cow	631	LIVESTOCK	4
#>>>				
88	cave	1155	CAVE	2
89	charcoal	1188	CHARCOAL	2
90	chest	1592	CHEST	2
91	chew	321	CHEW	2
#<<<				
92	chicken	2512	CHICK	2
92	chicken	1318	CHICKEN	2
#>>>				
#<<<				
93	child	2099	CHILD	2
93	child	1801	CHILD (DESCENDANT)	2
93	child	1304	CHILD (YOUNG HUMAN)	2
#>>>				
94	chili	919	CHILI PEPPER	2
95	chin	1510	CHIN	2
96	civet or spotted wild cat 	3157	CIVET	4
#<<<				
97	civet, palm 	3157	CIVET	4
97	civet, palm 	1181	PALM TREE	4
97	civet, palm 	1183	PALM OF HAND	4
#>>>				
#<<<				
98	clean	704	CLEAN	2
98	clean	2235	CLEAN (SOMETHING)	2
#>>>				
#<<<				
99	cliff, ravine	618	PRECIPICE	4
99	cliff, ravine	992	CLIFF	4
99	cliff, ravine	1930	RAVINE	4
#>>>				
100	clitoris		???	
101	clothing	1895	CLOTHES	2
#<<<				
102	cloud, mist, fog	249	FOG	4
102	cloud, mist, fog	1489	CLOUD	4
#>>>				
103	cockroach	1575	COCKROACH	2
#<<<				
104	cold	1287	COLD	2
104	cold	2483	COLD (OF WEATHER)	2
#>>>				
#<<<				
105	cold (vi) 	2932	COLD (CHILL)	4
105	cold (vi) 	2483	COLD (OF WEATHER)	4
105	cold (vi) 	1287	COLD	4
105	cold (vi) 	102	COMMON COLD (DISEASE)	4
#>>>				
#<<<				
106	comb	1475	COMB	2
106	comb	2070	COMB (VERB)	2
#>>>				
107	come	1446	COME	2
108	comparative degree		???	
109	cook1 		???	
110	cook2 		???	
111	copula, existential	1579	BE	4
#<<<				
112	copula, negative	1579	BE	4
112	copula, negative	1269	NO	4
112	copula, negative	1240	NOT	4
#>>>				
113	corpse	767	CORPSE	2
114	cotton	1850	COTTON	2
115	cough (vi)	879	COUGH	4
#<<<				
116	count	1420	COUNT	2
116	count	2945	COUNT (QUANTITY)	2
#>>>				
117	cover (v)	761	COVER	3
#<<<				
118	creeper, vine	343	VINE	4
118	creeper, vine	2388	LIANA	4
#>>>				
#<<<				
119	crow	913	CROW	2
119	crow	2074	CROW (VERB)	2
#>>>				
120	cry	1839	CRY	2
121	cucumber	496	CUCUMBER	2
122	curcuma sp.		???	
123	cure (vi)	499	CURE	4
124	cut	1432	CUT	2
125	dance	1879	DANCE	2
126	daughter	1357	DAUGHTER	2
#<<<				
127	daughter-in-law 	2265	DAUGHTER-IN-LAW (OF MAN)	4
127	daughter-in-law 	2264	DAUGHTER-IN-LAW (OF WOMAN)	4
127	daughter-in-law 	1057	DAUGHTER-IN-LAW	4
#>>>				
128	day after tomorrow	1179	DAY AFTER TOMORROW	2
129	day after two days		???	
130	day before two days		???	
131	day before yesterday	1180	DAY BEFORE YESTERDAY	2
132	deaf	996	DEAF	2
133	deep	1593	DEEP	2
#<<<				
134	deer, barking 	3152	MUNTJACS	4
134	deer, barking 	1206	BARKING	4
134	deer, barking 	1936	DEER	4
134	deer, barking 	2456	LARGE WILD HERBIVORE	4
#>>>				
#<<<				
135	deer, sambar 	3152	MUNTJACS	4
135	deer, sambar 	1936	DEER	4
135	deer, sambar 	2456	LARGE WILD HERBIVORE	4
#>>>				
136	defeat (vi) 	782	DEFEAT	4
#<<<				
137	deity, ghost	53	SPIRIT	4
137	deity, ghost	1175	GHOST	4
137	deity, ghost	1944	GOD	4
#>>>				
138	descend	2014	GO DOWN (DESCEND)	2
139	die	1494	DIE	2
140	dig	1418	DIG	2
141	dirty	1230	DIRTY	2
142	disease 	1986	DISEASE	4
143	do	813	DO	2
144	dog	2009	DOG	2
#<<<				
145	dog, wild 	2009	DOG	4
145	dog, wild 	2230	UNTAMED OR WILD	4
145	dog, wild 	1208	CAT	4
#>>>				
146	door	1567	DOOR	2
#<<<				
147	down 	2094	DOWN OR BELOW	4
147	down 	1326	DOWN	4
147	down 	1280	FALL	4
147	down 	2014	GO DOWN (DESCEND)	4
#>>>				
#<<<				
148	down (visible)	2094	DOWN OR BELOW	4
148	down (visible)	1326	DOWN	4
148	down (visible)	1280	FALL	4
148	down (visible)	2014	GO DOWN (DESCEND)	4
#>>>				
#<<<				
149	dragon, thunder, lightning	2378	THUNDER (VERB)	4
149	dragon, thunder, lightning	2038	DRAGON	4
149	dragon, thunder, lightning	1732	SKY	4
149	dragon, thunder, lightning	1150	THUNDER	4
149	dragon, thunder, lightning	2007	BOLT (OF LIGHTNING)	4
149	dragon, thunder, lightning	2377	FLASH (VERB)	4
149	dragon, thunder, lightning	1654	LIGHTNING	4
#>>>				
#<<<				
150	dream (n)	2374	DREAM	2
150	dream (n)	1920	DREAM (SOMETHING)	2
#>>>				
151	drink	1401	DRINK	2
152	dry (adj.)	1398	DRY	2
#<<<				
153	dry, dry up (v.i.)	1786	DRY UP	4
153	dry, dry up (v.i.)	1398	DRY	4
#>>>				
154	dual 		???	
#<<<				
155	eagle, buzzard	2683	EAGLE OR HAWK	4
155	eagle, buzzard	1905	EAGLE	4
155	eagle, buzzard	1865	BUZZARD	4
#>>>				
156	ear	1247	EAR	2
157	earthworm	2350	EARTHWORM	2
158	eat	1336	EAT	2
159	egg	744	EGG	2
160	eggplant	1146	AUBERGINE	2
161	eight	1705	EIGHT	2
162	elbow	981	ELBOW	2
163	elephant	1290	ELEPHANT	2
164	empty	1624	EMPTY	2
#<<<				
165	excrement	675	FAECES (EXCREMENT)	2
165	excrement	47	EXCRETA	2
#>>>				
166	excrete 		???	
167	exit	1752	LEAVE	2
168	eye	1248	EYE	2
169	face1		???	
170	face2 		???	
171	falcon		???	
172	fall1 		???	
173	fall2		???	
174	far	1406	FAR	2
175	fast	1631	FAST	2
176	fat (n)	323	FAT (ORGANIC SUBSTANCE)	2
177	father	1217	FATHER	2
#<<<				
178	fear (vi)	1419	FEAR (BE AFRAID)	4
178	fear (vi)	781	FEAR (FRIGHT)	4
178	fear (vi)	2109	FEAR OR FRIGHTEN	4
#>>>				
#<<<				
179	female 	2262	FEMALE (OF ANIMAL)	4
179	female 	2260	FEMALE (OF PERSON)	4
179	female 	2800	FEMALE PERSON OR MOTHER	4
179	female 	2105	FEMALE PERSON	4
179	female 	1551	FEMALE	4
#>>>				
180	fence	1690	FENCE	2
181	fern, fiddlehead 		???	
182	fetch		???	
#<<<				
183	few, little	1246	SMALL	4
183	few, little	2924	A LITTLE	4
183	few, little	1242	FEW	4
#>>>				
#<<<				
184	field 	652	PLAIN	4
184	field 	140	PADDY FIELD	4
184	field 	2794	FIELD (UPLAND)	4
184	field 	212	FIELD	4
184	field 	429	SWIDDEN FIELD	4
184	field 	628	LEAF	4
184	field 	1086	WORK (ACTIVITY)	4
184	field 	926	RICE	4
#>>>				
#<<<				
185	finger 	2120	FINGER OR TOE	4
185	finger 	1303	FINGER	4
#>>>				
186	fire	221	FIRE	2
187	fire prefix		???	
#<<<				
188	fish	227	FISH	2
188	fish	2638	FISHING	2
#>>>				
189	five	493	FIVE	2
190	flame	889	FLAME	2
191	flee	956	FLEE	2
192	float	1574	FLOAT	2
193	flour	1594	FLOUR	2
194	flow	2003	FLOW	2
195	fly (n)	1504	FLY (INSECT)	2
#<<<				
196	fly (vi)	1504	FLY (INSECT)	4
196	fly (vi)	1441	FLY (MOVE THROUGH AIR)	4
#>>>				
197	fodder	3046	FODDER	4
198	food 	256	FOOD	4
199	forehead	123	FOREHEAD	2
200	forest1 		???	
201	forest2 		???	
202	forget	1523	FORGET	2
203	four 	1500	FOUR	4
204	friend	1325	FRIEND	2
205	frog 	503	FROG	4
206	frost	2034	FROST	2
207	fruit	1507	FRUIT	2
208	frying pan	31	PAN	2
209	full	1429	FULL	2
210	gall, bile	1780	BILE	4
211	garden	586	GARDEN	2
212	garlic	2368	GARLIC	2
#<<<				
213	give	196	DONATE	2
213	give	1447	GIVE	2
#>>>				
214	go	695	GO	2
215	goat	1502	GOAT	2
216	goitre	1957	GOITER	4
217	gold	1369	GOLD	2
218	good 	1035	GOOD	4
219	goral 		???	
220	gourd	411	GOURD	2
221	grandfather	1383	GRANDFATHER	2
222	grandmother	1496	GRANDMOTHER	2
223	green	1425	GREEN	2
#<<<				
224	grind, pound	1033	GRIND	4
224	grind, pound	354	POUND	4
224	grind, pound	1665	BEAT	4
224	grind, pound	636	MILL	4
#>>>				
225	gum 		???	
226	hail	609	HAIL	2
#<<<				
227	hair (body): feather	2648	HAIR (HEAD)	4
227	hair (body): feather	189	HAIR (BODY)	4
227	hair (body): feather	2107	HAIR OR FOREHEAD	4
227	hair (body): feather	2678	HAIR OR FUR	4
227	hair (body): feather	2381	FEATHER OR FUR OR HAIR	4
227	hair (body): feather	2151	COARSE	4
227	hair (body): feather	1201	FEATHER	4
227	hair (body): feather	1040	HAIR	4
#>>>				
228	hair (head)	2648	HAIR (HEAD)	2
#<<<				
229	halt, stop	2880	HALT (STOP)	4
229	halt, stop	1928	CEASE	4
#>>>				
230	hand, arm	2121	ARM OR HAND	2
231	hard	1884	HARD	2
#<<<				
232	hatch	2075	BROOD (VERB)	2
232	hatch	3116	HATCH (OUT)	2
#>>>				
233	head	1256	HEAD	2
234	heart	1223	HEART	2
235	hearth, fireplace	185	FIREPLACE	4
236	heavy	1210	HEAVY	2
237	here	136	HERE	2
#<<<				
238	hide	2485	HIDE (ONESELF)	2
238	hide	2486	HIDE	2
238	hide	602	HIDE (CONCEAL)	2
#>>>				
239	hold	1448	HOLD	2
240	honey 	942	HONEY	4
#<<<				
241	horn	1393	HORN (ANATOMY)	2
241	horn	939	HORN (INSTRUMENT)	2
#>>>				
242	hornbill		???	
243	hornet 		???	
244	horse	615	HORSE	2
245	horsefly 		???	
246	house	1252	HOUSE	2
247	how many	822	HOW MANY	2
248	human being	683	PERSON	4
249	human being prefix 		???	
250	hungry (vi)	1533	BE HUNGRY	4
251	hunter	1053	HUNTER	2
252	husband	1200	HUSBAND	2
253	ice	617	ICE	2
254	imperative		???	
255	in	1460	IN	2
256	Indo-Aryan person		???	
257	insect	620	INSECT	2
258	intestines	1991	INTESTINES	2
#<<<				
259	iron	621	IRON	2
259	iron	3118	IRON (CLOTHES)	2
#>>>				
260	itch	148	ITCH	2
261	jackal 		???	
262	Jerigaon people 		???	
263	jump	1829	JUMP	2
#<<<				
264	keep, remain	838	REMAINS	4
264	keep, remain	1997	PRESERVE	4
264	keep, remain	1477	KEEP	4
264	keep, remain	987	REMAIN	4
#>>>				
265	Khoitam people		???	
266	kick (v)	1135	KICK	3
267	kill	1417	KILL	2
#<<<				
268	kiss (n)	578	KISS	4
268	kiss (n)	375	SNIFF	4
#>>>				
269	knee	1371	KNEE	2
270	know	1410	KNOW (SOMETHING)	2
271	ladder	1464	LADDER	2
272	language	1307	LANGUAGE	2
273	langur 		???	
274	lap		???	
#<<<				
275	late (vi)	425	BE LATE	4
275	late (vi)	477	LATE	4
#>>>				
276	laugh	1355	LAUGH	2
#<<<				
277	leaf	2250	LEAF (LEAFLIKE OBJECT)	2
277	leaf	628	LEAF	2
#>>>				
278	leaf litter		???	
#<<<				
279	leech, land	2273	LEECH	4
279	leech, land	166	MAINLAND	4
279	leech, land	1922	LAND (DESCEND)	4
279	leech, land	626	LAND	4
279	leech, land	949	WATER LEECH	4
279	leech, land	1228	EARTH (SOIL)	4
279	leech, land	1300	COUNTRY	4
#>>>				
#<<<				
280	leech, water	2273	LEECH	4
280	leech, water	948	WATER	4
280	leech, water	1401	DRINK	4
280	leech, water	1487	POUR	4
280	leech, water	949	WATER LEECH	4
280	leech, water	2798	RIVER OR WATER	4
280	leech, water	3078	IRRIGATE	4
#>>>				
281	left (side)	244	LEFT	2
#<<<				
282	leg 	2098	FOOT OR LEG	4
282	leg 	498	CALF OF LEG	4
282	leg 	1297	LEG	4
#>>>				
283	lick	319	LICK	2
#<<<				
284	lie (n)	1411	LIE (REST)	4
284	lie (n)	215	LIE DOWN	4
284	lie (n)	1416	SIT	4
284	lie (n)	475	UNTRUTH	4
284	lie (n)	2826	LIE (FALSEHOOD)	4
284	lie (n)	601	LIE (MISLEAD)	4
#>>>				
#<<<				
285	lift completely, carry	413	CARRY ON SHOULDER	4
285	lift completely, carry	1123	PREGNANT	4
285	lift completely, carry	700	CARRY	4
285	lift completely, carry	412	CARRY IN HAND	4
285	lift completely, carry	465	CARRY ON BACK	4
#>>>				
#<<<				
286	light 	679	BRIGHT	4
286	light 	250	LIGHT (COLOR)	4
286	light 	737	LIGHT (IGNITE)	4
286	light 	2181	LIGHT (IN TASTE)	4
286	light 	630	LIGHT (RADIATION)	4
286	light 	2201	LIGHT (SMELL OR TASTE)	4
286	light 	1052	LIGHT (WEIGHT)	4
#>>>				
287	lightning	1654	LIGHTNING	2
#<<<				
288	like, love	1117	LIKE	4
288	like, love	923	LOVE	4
288	like, love	1784	WANT	4
288	like, love	2117	DESIRE	4
288	like, love	1558	SIMILAR	4
#>>>				
289	liquor	842	LIQUOR	2
#<<<				
290	listen, heed	1408	HEAR	4
290	listen, heed	1608	LISTEN	4
#>>>				
#<<<				
291	live, stay	987	REMAIN	4
291	live, stay	1422	BE ALIVE	4
291	live, stay	2309	LIVE	4
291	live, stay	363	DWELL (LIVE, RESIDE)	4
#>>>				
292	liver	1224	LIVER	2
293	load (n)	1679	LOAD	4
294	locative		???	
295	long	1203	LONG	2
296	look	1819	LOOK	2
#<<<				
297	louse	310	HEAD LOUSE	2
297	louse	1392	LOUSE	2
#>>>				
298	lungs 	688	LUNG	4
299	macaque 		???	
300	machete	2680	MACHETE	2
301	maize	506	MAIZE	2
#<<<				
302	make	734	MAKE	2
302	make	2575	DO OR MAKE	2
#>>>				
303	male	1553	MALE	2
304	man	1554	MAN	2
#<<<				
305	manure	676	SHIT (DEFECATE)	4
305	manure	2057	DUNG (ANIMAL FAECES)	4
#>>>				
306	marrow 	1835	MARROW	4
307	marten 		???	
308	meat, animal	2096	ANIMAL OR MEAT	2
309	medicine	1372	MEDICINE	2
310	meet	1831	MEET	2
311	melt	2334	MELT	2
#<<<				
312	middle / centre	1093	MIDDLE	4
312	middle / centre	491	CENTER	4
#>>>				
313	Miji people		???	
314	millet, broomcorn 	931	MILLET	4
#<<<				
315	millet, finger  	2120	FINGER OR TOE	4
315	millet, finger  	1303	FINGER	4
315	millet, finger  	931	MILLET	4
#>>>				
316	millet, foxtail 	931	MILLET	4
317	mithun 		???	
318	Monpa 		???	
#<<<				
319	moon, month 	1370	MONTH	4
319	moon, month 	2463	MOON OR MONTH	4
319	moon, month 	1313	MOON	4
#>>>				
320	morning	1339	MORNING	2
#<<<				
321	mortar (wood)	1731	MORTAR BINDER	4
321	mortar (wood)	224	MORTAR CRUSHER	4
#>>>				
322	mother	1216	MOTHER	2
323	mountain	639	MOUNTAIN	2
324	mountain peak		???	
325	mouse, rat	2139	MUROID (MOUSE OR RAT)	2
326	mouth	674	MOUTH	2
327	much	531	HOW MUCH	2
328	mud	640	MUD	2
329	mushroom	641	MUSHROOM	2
330	naga, serpent deity 		???	
#<<<				
331	nail 	2128	CLAW OR NAIL	4
331	nail 	72	CLAW	4
331	nail 	1896	FINGERNAIL OR TOENAIL	4
331	nail 	1258	FINGERNAIL	4
331	nail 	502	NAIL (TOOL)	4
#>>>				
#<<<				
332	name	1405	NAME	2
332	name	180	CALL BY NAME	2
#>>>				
333	Namshu people		???	
334	navel	1838	NAVEL	2
335	neck	1333	NECK	2
336	need to, have to		???	
337	needle	1382	NEEDLE (FOR SEWING)	2
338	negative prefix		???	
#<<<				
339	nest, hive, womb	539	NEST	4
339	nest, hive, womb	804	WOMB	4
#>>>				
340	net for fishing		???	
341	new	1231	NEW	2
342	night	1233	NIGHT	2
343	nine	1483	NINE	2
344	nomen agentis		???	
345	nominaliser 		???	
#<<<				
346	noon 	2490	NOON	4
346	noon 	12	MIDDAY	4
#>>>				
347	nose	1221	NOSE	2
#<<<				
348	oil	2556	OIL (HYDROPHOBIC LIQUID)	2
348	oil	1484	OIL (ORGANIC SUBSTANCE)	2
#>>>				
349	okay 		???	
#<<<				
350	old 	2112	OLD (AGED)	4
350	old 	565	OLD (OF MAN)	4
350	old 	566	OLD (OF WOMAN)	4
350	old 	2113	OLD (USED)	4
350	old 	1229	OLD	4
#>>>				
351	one	1493	ONE	2
352	other 	197	OTHER	4
353	other 	197	OTHER	4
354	otter	15	OTTER	2
355	outside	762	OUTSIDE	2
#<<<				
356	palm, sole1	1181	PALM TREE	4
356	palm, sole1	1183	PALM OF HAND	4
#>>>				
#<<<				
357	palm, sole2	1181	PALM TREE	4
357	palm, sole2	1183	PALM OF HAND	4
#>>>				
358	pangolin 	2508	PANGOLIN	4
359	partridge 		???	
#<<<				
360	path, road	2457	PATH OR ROAD	4
360	path, road	2252	PATH	4
360	path, road	667	ROAD	4
#>>>				
361	patient marker		???	
#<<<				
362	peas	2574	BEAN OR PEA	4
362	peas	2025	PEA	4
#>>>				
363	penis	1222	PENIS	2
364	pheasant, kalij 	3060	PHEASANT	4
365	pheasant, tragopan 	3060	PHEASANT	4
#<<<				
366	pig	2564	PIGLET	2
366	pig	1337	PIG	2
#>>>				
367	pillow	1044	PILLOW	2
368	pinch	378	PINCH	2
369	pine kindle		???	
#<<<				
370	plait 	1729	PLAIT OR BRAID OR WEAVE	4
370	plait 	333	PLAIT	4
#>>>				
#<<<				
371	plant  (vt)	653	PLANT (VEGETATION)	4
371	plant  (vt)	1486	PLANT (SOMETHING)	4
#>>>				
372	play	1413	PLAY	2
373	plough (v)	1921	PLOUGH	3
374	plural 		???	
#<<<				
375	poison 	655	POISON	4
375	poison 	82	ANGER	4
#>>>				
376	porcupine 	2510	PORCUPINE	4
377	potato-bean 		???	
378	pour 	1487	POUR	4
#<<<				
379	present 	1579	BE	4
379	present 	196	DONATE	4
#>>>				
380	prohibitive prefix		???	
381	pull1		???	
382	pull2		???	
383	pulse		???	
384	pumpkin	864	PUMPKIN	2
385	Puroik		???	
386	pus	1808	PUS	2
387	push	1452	PUSH	2
388	put	998	PUT	2
389	quarrel (v)	1848	QUARREL	3
390	question 		???	
391	quiver	52	SHIVER	2
392	radish	2365	RADISH	4
393	Rahung, people of		???	
394	rain (n)	658	RAIN (PRECIPITATION)	2
395	rainbow	1733	RAINBOW	2
#<<<				
396	reap 	1432	CUT	4
396	reap 	190	MOW	4
396	reap 	1827	HARVEST CROPS	4
#>>>				
397	recognise		???	
398	red	156	RED	2
399	reflexive marker		???	
#<<<				
400	rest (n)	168	REST	4
400	rest (n)	2994	SUPPORT (OF OBJECT)	4
400	rest (n)	2116	REST OR SLEEP	4
#>>>				
401	rib	801	RIB	2
#<<<				
402	rice, husked	926	RICE	4
402	rice, husked	1191	COOKED RICE	4
402	rice, husked	2026	RICE PLANT	4
402	rice, husked	1486	PLANT (SOMETHING)	4
#>>>				
#<<<				
403	rice, unhusked, paddy 	926	RICE	4
403	rice, unhusked, paddy 	1191	COOKED RICE	4
403	rice, unhusked, paddy 	140	PADDY FIELD	4
403	rice, unhusked, paddy 	2026	RICE PLANT	4
403	rice, unhusked, paddy 	283	PADDY	4
403	rice, unhusked, paddy 	1486	PLANT (SOMETHING)	4
#>>>				
#<<<				
404	ride, mount 	705	GO UP (ASCEND)	4
404	ride, mount 	367	RIDE	4
#>>>				
#<<<				
405	right 	1019	RIGHT	4
405	right 	1725	CORRECT (RIGHT)	4
405	right 	2231	CORRECT (SOMETHING OR SOMEBODY)	4
405	right 	1404	STRAIGHT	4
405	right 	2183	RIGHT HAND	4
#>>>				
406	ripe	178	RIPE	2
407	roof	769	ROOF	2
408	root	670	ROOT	2
409	rope	1218	ROPE	2
#<<<				
410	rot (vi)	2907	ROT	4
410	rot (vi)	569	SPOIL (BECOME SPOILED)	4
#>>>				
#<<<				
411	round, small object 	2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	4
411	round, small object 	1395	ROUND	4
411	round, small object 	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	4
#>>>				
412	rub 	1449	RUB	4
#<<<				
413	rub; sharpen	1449	RUB	4
413	rub; sharpen	251	SHARPEN (SOMETHING)	4
#>>>				
414	run	1519	RUN	2
415	sago	2270	SAGO	2
416	saliva	1503	SALIVA	2
417	salt	1274	SALT	2
#<<<				
418	same, equal	200	SAME	4
418	same, equal	1570	EQUAL	4
#>>>				
419	sand	671	SAND	2
420	say	1458	SAY	2
421	scratch1		???	
422	scratch2		???	
423	search	1468	LOOK FOR	2
424	see	1409	SEE	2
425	seed	714	SEED	2
426	serow 		???	
