Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
+	+	a+duŋ+du, a+ruŋ+du	Khoina, Rupa, Rahung, Khoitam, Jerigaon, Shergaon, Duhumbi, Khispi	1903	U+002b
a	a	ʨʰak, lak	Duhumbi, Khispi, Rupa, Shergaon, Rahung, Khoitam, Khoina, Jerigaon	953	U+0061
ŋ$	ŋ	pʰiŋ, hiŋ	Rahung, Khoitam, Rupa, Duhumbi, Jerigaon, Khoina, Shergaon, Khispi	618	U+014b U+0024
k$	k	ʨʰak, lak	Rupa, Rahung, Khoitam, Khoina, Jerigaon, Shergaon, Duhumbi, Khispi	497	U+006b U+0024
^a	a	a+liː, a+nyː	Khoina, Khoitam, Rupa, Rahung, Jerigaon, Shergaon, Duhumbi, Khispi	462	U+005e U+0061
u	u	tʰam+bu_tuŋ, huŋ	Khispi, Duhumbi, Shergaon, Rahung, Khoitam, Rupa, Khoina, Jerigaon	455	U+0075
ə	ə	nə+pʰuŋ, nə+myː	Rupa, Khoitam, Shergaon, Rahung, Khoina, Jerigaon	393	U+0259
i	i	pʰiŋ, hiŋ	Khispi, Duhumbi, Shergaon, Rupa, Khoitam, Rahung, Khoina, Jerigaon	380	U+0069
ɔ	ɔ	jɔk, tʰɔk	Duhumbi, Khispi, Rahung, Khoitam, Rupa, Shergaon, Khoina, Jerigaon	331	U+0254
ɛ	ɛ	rɛk, kʰɛŋ	Duhumbi, Jerigaon, Rahung, Khispi, Khoitam, Khoina, Rupa, Shergaon	264	U+025b
^s	s	suː, s+teˀ	Rupa, Jerigaon, Rahung, Shergaon, Khoitam, Khoina, Duhumbi, Khispi	250	U+005e U+0073
^n	n	nu, naŋ	Khoina, Khoitam, Jerigaon, Rahung, Rupa, Shergaon, Duhumbi, Khispi	239	U+005e U+006e
m	m	a+muː, nam+bluː	Duhumbi, Khispi, Rahung, Rupa, Shergaon, Khoitam, Khoina, Jerigaon	231	U+006d
u$	u	nu, a+duŋ+du	Duhumbi, Khispi, Rupa, Khoitam, Jerigaon, Shergaon, Khoina, Rahung	230	U+0075 U+0024
^kʰ	kʰ	kʰuː, kʰa	Duhumbi, Khispi, Rupa, Rahung, Shergaon, Khoitam, Jerigaon, Khoina	225	U+005e U+006b U+02b0
l	l	a+liː, nam+bluː	Rupa, Shergaon, Khoitam, Jerigaon, Khoina, Khispi, Duhumbi, Rahung	222	U+006c
a$	a	kʰa, la	Khispi, Duhumbi, Khoina, Rupa, Shergaon, Jerigaon, Rahung, Khoitam	221	U+0061 U+0024
^ʨʰ	tɕʰ	ʨʰak, ʨʰeˀ	Rahung, Khoitam, Jerigaon, Duhumbi, Khispi, Rupa, Shergaon, Khoina	204	U+005e U+02a8 U+02b0
^h	h	hiŋ, huŋ	Duhumbi, Rahung, Khispi, Khoitam, Jerigaon, Rupa, Shergaon, Khoina	203	U+005e U+0068
uː$	uː	kʰuː, luː	Rahung, Khoitam, Rupa, Jerigaon, Shergaon, Khoina	202	U+0075 U+02d0 U+0024
^m	m	mɔ̃ː, man	Khoitam, Rahung, Rupa, Duhumbi, Jerigaon, Khoina, Shergaon, Khispi	200	U+005e U+006d
n$	n	man, dɛn	Khispi, Khoina, Duhumbi, Jerigaon, Rupa, Khoitam, Shergaon, Rahung	194	U+006e U+0024
