# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	VARIANTS	NOTE
#
1	Khispi	1sg	ga	ga		
2	Duhumbi	1sg	ga	ga		
3	Khoina	1sg	guː	guː		
4	Jerigaon	1sg	guː	guː		
5	Khoitam	1sg	guː	guː		
6	Rahung	1sg	guː	guː		
7	Rupa	1sg	guː	guː		
8	Shergaon	1sg	guː	guː		
#
9	Khispi	2pl.excl	na-lu	na-lu		
10	Duhumbi	2pl.excl	na-r	na-r		
14	Rahung	2pl.excl	na-ryː	na-ryː		
15	Rupa	2pl.excl	naː-bluŋ	naː-bluŋ		
16	Shergaon	2pl.excl	naː-bluŋ	naː-bluŋ		
#
17	Khispi	2pl.incl	nal-tʰe	nal-tʰe		
18	Duhumbi	2pl.incl	nar-tʰeˀ	nar-tʰeˀ		
19	Khoina	2pl.incl	na-tʰik	na-tʰik		
20	Jerigaon	2pl.incl	na-tʰik	na-tʰik		
21	Khoitam	2pl.incl	na-tʰɛk	na-tʰɛk		
22	Rahung	2pl.incl	na-tʰɛk	na-tʰɛk		
23	Rupa	2pl.incl	naː-tʰik	naː-tʰik		
24	Shergaon	2pl.incl	naː-tʰik	naː-tʰik		
#
25	Khispi	2sg	naŋ	naŋ		
26	Duhumbi	2sg	naŋ	naŋ		
27	Khoina	2sg	naŋ	naŋ		
28	Jerigaon	2sg	naŋ	naŋ		
29	Khoitam	2sg	naŋ	naŋ		
30	Rahung	2sg	naŋ	naŋ		
31	Rupa	2sg	naŋ	naŋ		
32	Shergaon	2sg	naŋ	naŋ		
#
33	Khispi	3sg	wuj	wuj		
34	Duhumbi	3sg	wɔj	wɔj		
35	Khoina	3sg	laŋ-waː	laŋ-waː		
36	Jerigaon	3sg	waː	waː		
37	Khoitam	3sg	waː-ʥi	waː-ʥi		
38	Rahung	3sg	hɛˀ ~ ɛˀ	hɛˀ 	 ɛˀ	Variants
39	Rupa	3sg	waː	waː		
40	Shergaon	3sg	waː	waː		
#
603	Khoina	Bugun	ʂə-luŋ	ʂə-luŋ		
606	Rahung	Bugun	su-luŋ	su-luŋ		
607	Rupa	Bugun	sə-luŋ	sə-luŋ		
608	Shergaon	Bugun	su-luŋ	su-luŋ		
#
2041	Khispi	Indo-Aryan person	bi-ʨʰa	bi-ʨʰa		
2042	Duhumbi	Indo-Aryan person	bi-ʨʰa	bi-ʨʰa		
2043	Khoina	Indo-Aryan person	də-ʨʰuː	də-ʨʰuː		
2045	Khoitam	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə-ʨʰuː		
2046	Rahung	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə-ʨʰuː		
2047	Rupa	Indo-Aryan person	nə-ʨʰuː ~ də-ʨʰuː	nə-ʨʰuː 	 də-ʨʰuː	Variants
2048	Shergaon	Indo-Aryan person	də-ʨʰuː	də-ʨʰuː		
#
2091	Khoina	Jerigaon people	də-ʨĩː-ʥi	də-ʨĩː-ʥi		
2092	Jerigaon	Jerigaon people	kʰ-ʨĩː-ʥi	kʰ-ʨĩː-ʥi		
2095	Rupa	Jerigaon people	di-ʨʰi-ʥi	di-ʨʰi-ʥi		
#
2113	Khispi	Khoitam people	kʰus-tam-bi	kʰus-tam-bi		
2115	Khoina	Khoitam people	gə-tam-ʥi	gə-tam-ʥi		
