ID	FREQUENCY	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon	COGIDS	CONCEPTS
1	4	ɹ	ɹ	-	ɹ	ɹ	ɹ	ɹ	ɹ	169:1, 413:1, 1006:1, 1038:1	finger / knee / song / spider
2	2	ɹ	-	-	-	-	-	-	-	155:1, 269:1	boil (n) / count
3	1	ɹ	Ø	-	-	ɹ	-	ɹ	ɹ	894:1	round, small object
1	2	ɕ	-	ɕ	-	-	-	-	-	464:1, 640:1	full / liver / swell
2	1	ɕ	l	ɕ	l	l	l	l	l	739:1	needle
1	2	Ø	Ø	Ø	Ø	Ø	t	t	t	1029:1, 1058:1	speak / squirrel
2	2	Ø	-	-	-	-	-	l	l	113:1, 794:1	beans / peas
3	1	Ø	l	-	-	-	-	-	Ø	352:1	earthworm
4	1	Ø	-	-	-	-	-	Ø	ɹ	609:1	leech, water
5	1	Ø	Ø	Ø	Ø	Ø	-	j	Ø	1063:1	squirrel, flying
6	1	Ø	Ø	Ø	Ø	Ø	-	r	Ø	1085:1	stump (tree)
7	1	Ø	-	Ø	-	-	-	w	-	1143:1	this
1	1	r	Ø	-	Ø	Ø	Ø	-	r	833:1	pumpkin
1	11	j	-	-	-	-	-	-	-	142:1, 168:1, 270:1, 286:1, 302:1, 337:1, 409:1, 527:1, 649:1, 714:1, 939:1	bite / cover (v) / deaf / dream (n) / field / horn / louse / much / pull / red / shoot
2	1	j	-	j	-	-	Ø	-	-	1191:1	up there
1	6	-	l	-	l	l	r	l	l	86:1, 444:1, 456:1, 591:1, 1269:1, 1285:1	2pl.excl / ash / forget / frost / knee / moon, month / work
2	2	-	l	-	l	l	l	l	l	107:1, 829:1	bastard / pumpkin
3	2	-	l	Ø	l	l	-	-	l	197:1, 435:1	butterfly / sparrow
4	2	-	-	j	-	-	-	Ø	Ø	50:1, 1119:1	Thembang people / that side
5	1	-	l	-	-	l	ɹ	l	l	92:1	axe
6	1	-	Ø	-	-	j	Ø	-	Ø	1127:1	thief
7	1	-	l	-	Ø	l	-	-	-	1131:1	thigh
8	1	-	l	-	l	l	ɹ	l	l	1111:1	tasty
9	1	-	Ø	-	Ø	w	-	Ø	Ø	333:1	down (visible)
10	1	-	-	Ø	-	l	-	w	-	265:1	cotton
11	1	-	-	-	l	-	-	l	-	109:1	bat
12	1	-	-	-	-	-	-	k	-	310:1	deer, barking
13	1	-	-	-	l	-	Ø	-	Ø	812:1	plait
