# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	VARIANTS	NOTE
#
11	Khoina	2pl.excl				
12	Jerigaon	2pl.excl				
13	Khoitam	2pl.excl				
#
601	Khispi	Bugun				
602	Duhumbi	Bugun				
604	Jerigaon	Bugun				
605	Khoitam	Bugun				
#
2044	Jerigaon	Indo-Aryan person				
#
2089	Khispi	Jerigaon people				
2090	Duhumbi	Jerigaon people				
2093	Khoitam	Jerigaon people				
2094	Rahung	Jerigaon people				
2096	Shergaon	Jerigaon people				
#
2114	Duhumbi	Khoitam people				
2117	Khoitam	Khoitam people				
2118	Rahung	Khoitam people				
#
2497	Khispi	Miji people				
2498	Duhumbi	Miji people				
2501	Khoitam	Miji people				
#
2540	Jerigaon	Monpa				
2541	Khoitam	Monpa				
#
2661	Khoitam	Namshu people				
2663	Rupa	Namshu people				
2664	Shergaon	Namshu people				
#
3076	Jerigaon	Puroik				
3077	Khoitam	Puroik				
3078	Rahung	Puroik				
3080	Shergaon	Puroik				
#
3138	Duhumbi	Rahung, people of				
3141	Khoitam	Rahung, people of				
3142	Rahung	Rahung, people of				
#
3489	Khispi	Sherdukpen				
3490	Duhumbi	Sherdukpen				
3493	Khoitam	Sherdukpen				
#
3498	Duhumbi	Shergaon, people of				
3501	Khoitam	Shergaon, people of				
3504	Shergaon	Shergaon, people of				
#
4149	Khoitam	Thembang people				
4151	Rupa	Thembang people				
4152	Shergaon	Thembang people				
#
54	Rahung	above, top				
55	Rupa	above, top				
56	Shergaon	above, top				
#
60	Jerigaon	achieve, obtain				
64	Shergaon	achieve, obtain				
#
76	Jerigaon	after				
77	Khoitam	after				
80	Shergaon	after				
#
81	Khispi	afternoon				
82	Duhumbi	afternoon				
#
91	Khoina	agent				
92	Jerigaon	agent				
96	Shergaon	agent				
#
99	Khoina	alive, healthy				
100	Jerigaon	alive, healthy				
#
105	Khispi	all				
106	Duhumbi	all				
108	Jerigaon	all				
#
115	Khoina	allative				
#
121	Khispi	amaranth				
123	Khoina	amaranth				
125	Khoitam	amaranth				
126	Rahung	amaranth				
127	Rupa	amaranth				
128	Shergaon	amaranth				
#
151	Rupa	arrive				
152	Shergaon	arrive				
#
155	Khoina	arrow				
#
161	Khispi	ascend				
165	Khoitam	ascend				
167	Rupa	ascend				
168	Shergaon	ascend				
#
180	Jerigaon	ask				
184	Shergaon	ask				
#
188	Jerigaon	associative				
#
196	Jerigaon	attic				
#
209	Khispi	back (n)				
210	Duhumbi	back (n)				
#
218	Duhumbi	back (wards)				
219	Khoina	back (wards)				
220	Jerigaon	back (wards)				
224	Shergaon	back (wards)				
#
228	Jerigaon	bad1				
232	Shergaon	bad1				
#
233	Khispi	bad2				
234	Duhumbi	bad2				
240	Shergaon	bad2				
#
250	Duhumbi	banana				
249	Khispi	banana				
#
282	Duhumbi	beans				
288	Shergaon	beans				
#
304	Shergaon	beat, hit				
301	Khoitam	beat, hit				
#
307	Khoina	beautiful				
308	Jerigaon	beautiful				
309	Khoitam	beautiful				
312	Shergaon	beautiful				
#
317	Khoitam	bee				
#
334	Rahung	beer strainer				
335	Rupa	beer strainer				
336	Shergaon	beer strainer				
331	Khoina	beer strainer				
#
339	Khoina	behind				
340	Jerigaon	behind				
341	Khoitam	behind				
344	Shergaon	behind				
#
372	Jerigaon	bind (v)				
373	Khoitam	bind (v)				
374	Rahung	bind (v)				
375	Rupa	bind (v)				
376	Shergaon	bind (v)				
#
387	Khoina	bite				
388	Jerigaon	bite				
#
426	Duhumbi	blow (wind)				
431	Rupa	blow (wind)				
425	Khispi	blow (wind)				
432	Shergaon	blow (wind)				
428	Jerigaon	blow (wind)				
#
443	Khoina	boil  (water)				
#
452	Jerigaon	boil (n)				
456	Shergaon	boil (n)				
#
468	Jerigaon	borrow1				
470	Rahung	borrow1				
472	Shergaon	borrow1				
467	Khoina	borrow1				
#
478	Rahung	borrow2				
#
497	Khispi	branch				
498	Duhumbi	branch				
#
512	Shergaon	break				
#
537	Khispi	bridge, hanging				
542	Rahung	bridge, hanging				
544	Shergaon	bridge, hanging				
540	Jerigaon	bridge, hanging				
#
546	Duhumbi	bring				
552	Shergaon	bring				
#
571	Khoina	brother, younger				
#
593	Khispi	buffalo				
594	Duhumbi	buffalo				
#
620	Jerigaon	burn, roast (vt)				
622	Rahung	burn, roast (vt)				
624	Shergaon	burn, roast (vt)				
#
633	Khispi	butterfly				
#
706	Duhumbi	charcoal				
#
713	Khispi	chest				
716	Jerigaon	chest				
720	Shergaon	chest				
#
728	Shergaon	chew				
#
737	Khispi	child				
#
754	Duhumbi	chin				
759	Rupa	chin				
760	Shergaon	chin				
#
761	Khispi	civet or spotted wild cat				
762	Duhumbi	civet or spotted wild cat				
#
769	Khispi	civet, palm				
770	Duhumbi	civet, palm				
772	Jerigaon	civet, palm				
774	Rahung	civet, palm				
775	Rupa	civet, palm				
#
781	Khoitam	clean				
780	Jerigaon	clean				
784	Shergaon	clean				
#
796	Jerigaon	clitoris				
793	Khispi	clitoris				
794	Duhumbi	clitoris				
#
810	Duhumbi	cloud, mist, fog				
#
819	Khoina	cockroach				
818	Duhumbi	cockroach				
820	Jerigaon	cockroach				
#
832	Shergaon	cold				
#
840	Shergaon	cold (vi)				
#
855	Rupa	come				
856	Shergaon	come				
#
859	Khoina	comparative degree				
863	Rupa	comparative degree				
864	Shergaon	comparative degree				
#
867	Khoina	cook1				
868	Jerigaon	cook1				
869	Khoitam	cook1				
872	Shergaon	cook1				
#
873	Khispi	cook2				
874	Duhumbi	cook2				
877	Khoitam	cook2				
878	Rahung	cook2				
#
894	Rahung	copula, negative				
#
905	Khispi	cotton				
#
916	Jerigaon	cough (vi)				
920	Shergaon	cough (vi)				
#
929	Khispi	cover (v)				
931	Khoina	cover (v)				
932	Jerigaon	cover (v)				
933	Khoitam	cover (v)				
934	Rahung	cover (v)				
936	Shergaon	cover (v)				
#
943	Rupa	creeper, vine				
#
946	Duhumbi	crow				
952	Shergaon	crow				
#
969	Khispi	curcuma sp.				
975	Rupa	curcuma sp.				
976	Shergaon	curcuma sp.				
972	Jerigaon	curcuma sp.				
#
980	Jerigaon	cure (vi)				
983	Rupa	cure (vi)				
984	Shergaon	cure (vi)				
#
985	Khispi	cut				
#
993	Khispi	dance				
994	Duhumbi	dance				
#
1012	Jerigaon	daughter-in-law				
1016	Shergaon	daughter-in-law				
#
1017	Khispi	day after tomorrow				
#
1033	Khispi	day before two days				
1037	Khoitam	day before two days				
1038	Rahung	day before two days				
#
1051	Khoina	deaf				
1052	Jerigaon	deaf				
1054	Rahung	deaf				
1056	Shergaon	deaf				
#
1057	Khispi	deep				
1058	Duhumbi	deep				
#
1074	Duhumbi	deer, sambar				
1076	Jerigaon	deer, sambar				
1078	Rahung	deer, sambar				
1080	Shergaon	deer, sambar				
#
1081	Khispi	defeat (vi)				
1083	Khoina	defeat (vi)				
1084	Jerigaon	defeat (vi)				
1087	Rupa	defeat (vi)				
1088	Shergaon	defeat (vi)				
#
1092	Jerigaon	deity, ghost				
1096	Shergaon	deity, ghost				
#
1104	Shergaon	descend				
1100	Jerigaon	descend				
#
1115	Khoina	dig				
1117	Khoitam	dig				
1120	Shergaon	dig				
#
1121	Khispi	dirty				
1122	Duhumbi	dirty				
#
1129	Khispi	disease				
1130	Duhumbi	disease				
1136	Shergaon	disease				
#
1154	Duhumbi	dog, wild				
1153	Khispi	dog, wild				
1157	Khoitam	dog, wild				
#
1174	Rahung	down				
#
1180	Jerigaon	down (visible)				
1179	Khoina	down (visible)				
1183	Rupa	down (visible)				
1184	Shergaon	down (visible)				
#
1185	Khispi	dragon, thunder, lightning				
1186	Duhumbi	dragon, thunder, lightning				
1188	Jerigaon	dragon, thunder, lightning				
1189	Khoitam	dragon, thunder, lightning				
1191	Rupa	dragon, thunder, lightning				
1192	Shergaon	dragon, thunder, lightning				
#
1219	Khoina	dry, dry up (v.i.)				
1221	Khoitam	dry, dry up (v.i.)				
1222	Rahung	dry, dry up (v.i.)				
1224	Shergaon	dry, dry up (v.i.)				
#
1227	Khoina	dual				
1228	Jerigaon	dual				
1229	Khoitam	dual				
#
1235	Khoina	eagle, buzzard				
1236	Jerigaon	eagle, buzzard				
1240	Shergaon	eagle, buzzard				
#
1256	Shergaon	earthworm				
1250	Duhumbi	earthworm				
#
1272	Shergaon	egg				
#
1289	Khispi	elbow				
#
1297	Khispi	elephant				
1298	Duhumbi	elephant				
#
1305	Khispi	empty				
