# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	VARIANTS	NOTE
1306	Duhumbi	empty				
#
1313	Khispi	excrement				
1314	Duhumbi	excrement				
#
1325	Khoitam	excrete				
#
1345	Khispi	face1				
1348	Jerigaon	face1				
1352	Shergaon	face1				
#
1360	Shergaon	face2				
#
1365	Khoitam	falcon				
1366	Rahung	falcon				
1367	Rupa	falcon				
1368	Shergaon	falcon				
#
1371	Khoina	fall1				
1372	Jerigaon	fall1				
1373	Khoitam	fall1				
1376	Shergaon	fall1				
#
1379	Khoina	fall2				
1377	Khispi	fall2				
1378	Duhumbi	fall2				
#
1385	Khispi	far				
1386	Duhumbi	far				
#
1393	Khispi	fast				
#
1416	Shergaon	father				
#
1417	Khispi	fear (vi)				
1418	Duhumbi	fear (vi)				
#
1440	Shergaon	fence				
1435	Khoina	fence				
1436	Jerigaon	fence				
1439	Rupa	fence				
#
1451	Khoina	fetch				
1452	Jerigaon	fetch				
#
1457	Khispi	few, little				
1458	Duhumbi	few, little				
1463	Rupa	few, little				
1464	Shergaon	few, little				
#
1480	Shergaon	finger				
#
1520	Shergaon	flame				
1513	Khispi	flame				
1515	Khoina	flame				
1516	Jerigaon	flame				
1518	Rahung	flame				
#
1523	Khoina	flee				
1524	Jerigaon	flee				
#
1535	Rupa	float				
1536	Shergaon	float				
1529	Khispi	float				
1530	Duhumbi	float				
1531	Khoina	float				
#
1545	Khispi	flow				
1550	Rahung	flow				
#
1553	Khispi	fly (n)				
1554	Duhumbi	fly (n)				
#
1572	Jerigaon	fodder				
1576	Shergaon	fodder				
#
1578	Duhumbi	food				
#
1585	Khispi	forehead				
1586	Duhumbi	forehead				
#
1593	Khispi	forest1				
1594	Duhumbi	forest1				
#
1603	Khoina	forest2				
1604	Jerigaon	forest2				
1605	Khoitam	forest2				
1606	Rahung	forest2				
#
1610	Duhumbi	forget				
#
1640	Shergaon	frog				
#
1642	Duhumbi	frost				
1643	Khoina	frost				
1644	Jerigaon	frost				
#
1649	Khispi	fruit				
1650	Duhumbi	fruit				
1651	Khoina	fruit				
1652	Jerigaon	fruit				
#
1664	Shergaon	frying pan				
1657	Khispi	frying pan				
1658	Duhumbi	frying pan				
1660	Jerigaon	frying pan				
#
1674	Duhumbi	gall, bile				
#
1683	Khoina	garden				
1684	Jerigaon	garden				
1686	Rahung	garden				
1687	Rupa	garden				
1688	Shergaon	garden				
#
1694	Rahung	garlic				
#
1713	Khispi	goat				
1714	Duhumbi	goat				
#
1723	Khoina	goitre				
#
1737	Khispi	good				
#
1747	Khoina	goral				
#
1756	Jerigaon	gourd				
1760	Shergaon	gourd				
1754	Duhumbi	gourd				
1757	Khoitam	gourd				
1759	Rupa	gourd				
#
1761	Khispi	grandfather				
1762	Duhumbi	grandfather				
1764	Jerigaon	grandfather				
1765	Khoitam	grandfather				
1768	Shergaon	grandfather				
#
1785	Khispi	grind, pound				
1786	Duhumbi	grind, pound				
#
1800	Shergaon	gum				
1796	Jerigaon	gum				
1797	Khoitam	gum				
1793	Khispi	gum				
#
1801	Khispi	hail				
1802	Duhumbi	hail				
1808	Shergaon	hail				
#
1810	Duhumbi	hair (body): feather				
#
1828	Jerigaon	halt, stop				
1825	Khispi	halt, stop				
1829	Khoitam	halt, stop				
1831	Rupa	halt, stop				
1832	Shergaon	halt, stop				
#
1841	Khispi	hard				
1842	Duhumbi	hard				
1843	Khoina	hard				
#
1849	Khispi	hatch				
1852	Jerigaon	hatch				
1855	Rupa	hatch				
1856	Shergaon	hatch				
#
1859	Khoina	head				
#
1875	Khoina	hearth, fireplace				
1876	Jerigaon	hearth, fireplace				
#
1889	Khispi	here				
1890	Duhumbi	here				
#
1910	Rahung	hold				
1907	Khoina	hold				
#
1918	Rahung	honey				
#
1932	Jerigaon	hornbill				
1929	Khispi	hornbill				
1930	Duhumbi	hornbill				
1936	Shergaon	hornbill				
#
1937	Khispi	hornet				
1942	Rahung	hornet				
1944	Shergaon	hornet				
#
1953	Khispi	horsefly				
1956	Jerigaon	horsefly				
1959	Rupa	horsefly				
1960	Shergaon	horsefly				
#
1972	Jerigaon	how many				
1973	Khoitam	how many				
#
2020	Jerigaon	ice				
2019	Khoina	ice				
#
2033	Khispi	in				
2034	Duhumbi	in				
#
2057	Khispi	intestines				
2058	Duhumbi	intestines				
#
2065	Khispi	iron				
2066	Duhumbi	iron				
#
2083	Khoina	jackal				
2085	Khoitam	jackal				
2086	Rahung	jackal				
#
2100	Jerigaon	jump				
2104	Shergaon	jump				
#
2107	Khoina	keep, remain				
2109	Khoitam	keep, remain				
2110	Rahung	keep, remain				
2112	Shergaon	keep, remain				
#
2140	Jerigaon	kiss (n)				
2144	Shergaon	kiss (n)				
#
2193	Khispi	late (vi)				
2195	Khoina	late (vi)				
2200	Shergaon	late (vi)				
#
2234	Duhumbi	leech, water				
2239	Rupa	leech, water				
#
2263	Rupa	lick				
2264	Shergaon	lick				
#
2265	Khispi	lie (n)				
2266	Duhumbi	lie (n)				
#
2275	Khoina	lift completely, carry				
2278	Rahung	lift completely, carry				
2276	Jerigaon	lift completely, carry				
#
2290	Duhumbi	lightning				
#
2300	Jerigaon	like, love				
2304	Shergaon	like, love				
2297	Khispi	like, love				
#
2320	Shergaon	listen, heed				
#
2330	Duhumbi	liver				
#
2340	Jerigaon	load (n)				
2344	Shergaon	load (n)				
#
2348	Jerigaon	locative				
2349	Khoitam	locative				
2350	Rahung	locative				
#
2361	Khispi	look				
2362	Duhumbi	look				
2368	Shergaon	look				
#
2377	Khispi	lungs				
2378	Duhumbi	lungs				
#
2385	Khispi	macaque				
#
2407	Rupa	maize				
2408	Shergaon	maize				
#
2412	Jerigaon	make				
2413	Khoitam	make				
2414	Rahung	make				
2415	Rupa	make				
2416	Shergaon	make				
#
2433	Khispi	manure				
2436	Jerigaon	manure				
2440	Shergaon	manure				
#
2441	Khispi	marrow				
2442	Duhumbi	marrow				
2448	Shergaon	marrow				
#
2478	Rahung	meet				
2480	Shergaon	meet				
2476	Jerigaon	meet				
#
2492	Jerigaon	middle / centre				
2493	Khoitam	middle / centre				
2494	Rahung	middle / centre				
2496	Shergaon	middle / centre				
#
2505	Khispi	millet, broomcorn				
2508	Jerigaon	millet, broomcorn				
2509	Khoitam	millet, broomcorn				
#
2513	Khispi	millet, finger				
2514	Duhumbi	millet, finger				
#
2521	Khispi	millet, foxtail				
2524	Jerigaon	millet, foxtail				
2526	Rahung	millet, foxtail				
#
2553	Khispi	morning				
2554	Duhumbi	morning				
2555	Khoina	morning				
#
2587	Khoina	mountain peak				
2588	Jerigaon	mountain peak				
2592	Shergaon	mountain peak				
#
2635	Khoina	naga, serpent deity				
2636	Jerigaon	naga, serpent deity				
2637	Khoitam	naga, serpent deity				
2638	Rahung	naga, serpent deity				
2640	Shergaon	naga, serpent deity				
#
2676	Jerigaon	neck				
2680	Shergaon	neck				
#
2684	Jerigaon	need to, have to				
2688	Shergaon	need to, have to				
#
2716	Jerigaon	net for fishing				
2717	Khoitam	net for fishing				
2718	Rahung	net for fishing				
2720	Shergaon	net for fishing				
#
2732	Jerigaon	night				
#
2755	Khoina	nominaliser				
2757	Khoitam	nominaliser				
2759	Rupa	nominaliser				
2760	Shergaon	nominaliser				
#
2777	Khispi	oil				
2778	Duhumbi	oil				
2779	Khoina	oil				
2780	Jerigaon	oil				
#
2787	Khoina	okay				
2791	Rupa	okay				
2792	Shergaon	okay				
#
2817	Khispi	other				
2818	Duhumbi	other				
2824	Shergaon	other				
#
2825	Khispi	otter				
2826	Duhumbi	otter				
#
2833	Khispi	outside				
2834	Duhumbi	outside				
#
2843	Khoina	palm, sole1				
2844	Jerigaon	palm, sole1				
#
2849	Khispi	palm, sole2				
2850	Duhumbi	palm, sole2				
2853	Khoitam	palm, sole2				
2854	Rahung	palm, sole2				
2856	Shergaon	palm, sole2				
#
2857	Khispi	pangolin				
2858	Duhumbi	pangolin				
2860	Jerigaon	pangolin				
2863	Rupa	pangolin				
2864	Shergaon	pangolin				
#
2865	Khispi	partridge				
2867	Khoina	partridge				
2871	Rupa	partridge				
#
2884	Jerigaon	patient marker				
2888	Shergaon	patient marker				
#
2905	Khispi	pheasant, kalij				
2906	Duhumbi	pheasant, kalij				
#
2913	Khispi	pheasant, tragopan				
2918	Rahung	pheasant, tragopan				
2915	Khoina	pheasant, tragopan				
#
2940	Jerigaon	pinch				
2944	Shergaon	pinch				
#
2958	Rahung	plait				
2960	Shergaon	plait				
#
2964	Jerigaon	plant  (vt)				
2968	Shergaon	plant  (vt)				
#
2984	Shergaon	plough (v)				
2980	Jerigaon	plough (v)				
#
2992	Shergaon	plural				
#
3011	Khoina	potato-bean				
3012	Jerigaon	potato-bean				
3014	Rahung	potato-bean				
3016	Shergaon	potato-bean				
3009	Khispi	potato-bean				
#
3019	Khoina	pour				
3020	Jerigaon	pour				
3021	Khoitam	pour				
3022	Rahung	pour				
#
3028	Jerigaon	present				
3029	Khoitam	present				
3030	Rahung	present				
3031	Rupa	present				
3032	Shergaon	present				
#
3035	Khoina	prohibitive prefix				
#
3043	Khoina	pull1				
3044	Jerigaon	pull1				
3045	Khoitam	pull1				
#
3049	Khispi	pull2				
3050	Duhumbi	pull2				
3055	Rupa	pull2				
3056	Shergaon	pull2				
#
3097	Khispi	put				
#
3112	Shergaon	quarrel (v)				
#
3115	Khoina	question				
3116	Jerigaon	question				
3120	Shergaon	question				
#
3145	Khispi	rain (n)				
3152	Shergaon	rain (n)				
#
3153	Khispi	rainbow				
3154	Duhumbi	rainbow				
#
3168	Shergaon	reap				
3161	Khispi	reap				
3163	Khoina	reap				
3164	Jerigaon	reap				
#
3172	Jerigaon	recognise				
3176	Shergaon	recognise				
#
3196	Jerigaon	rest (n)				
3200	Shergaon	rest (n)				
#
3202	Duhumbi	rib				
3203	Khoina	rib				
#
3209	Khispi	rice, husked				
3210	Duhumbi	rice, husked				
3215	Rupa	rice, husked				
3216	Shergaon	rice, husked				
#
3219	Khoina	rice, unhusked, paddy				
3222	Rahung	rice, unhusked, paddy				
#
3227	Khoina	ride, mount				
3232	Shergaon	ride, mount				
3228	Jerigaon	ride, mount				
3229	Khoitam	ride, mount				
3230	Rahung	ride, mount				
#
3252	Jerigaon	roof				
3256	Shergaon	roof				
#
3257	Khispi	root				
3258	Duhumbi	root				
3264	Shergaon	root				
#
3284	Jerigaon	round, small object				
#
3289	Khispi	rub				
3290	Duhumbi	rub				
3293	Khoitam	rub				
3296	Shergaon	rub				
#
3300	Jerigaon	rub; sharpen				
3304	Shergaon	rub; sharpen				
#
3305	Khispi	run				
3306	Duhumbi	run				
3308	Jerigaon	run				
3309	Khoitam	run				
#
3324	Jerigaon	saliva				
3327	Rupa	saliva				
3328	Shergaon	saliva				
#
3340	Jerigaon	same, equal				
3342	Rahung	same, equal				
3344	Shergaon	same, equal				
#
3351	Rupa	sand				
3352	Shergaon	sand				
3345	Khispi	sand				
3346	Duhumbi	sand				
#
3364	Jerigaon	scratch1				
3365	Khoitam	scratch1				
3366	Rahung	scratch1				
#
3369	Khispi	scratch2				
3370	Duhumbi	scratch2				
3371	Khoina	scratch2				
3376	Shergaon	scratch2				
#
3380	Jerigaon	search				
3384	Shergaon	search				
#
3387	Khoina	see				
3388	Jerigaon	see				
3389	Khoitam	see				
#
3427	Khoina	sew				
3431	Rupa	sew				
3432	Shergaon	sew				
#
3434	Duhumbi	shade				
3435	Khoina	shade				
3436	Jerigaon	shade				
3438	Rahung	shade				
3440	Shergaon	shade				
#
3443	Khoina	shake1				
3444	Jerigaon	shake1				
3448	Shergaon	shake1				
#
3452	Jerigaon	shake2				
3454	Rahung	shake2				
3456	Shergaon	shake2				
#
3484	Jerigaon	shelf				
3481	Khispi	shelf				
3483	Khoina	shelf				
3486	Rahung	shelf				
3488	Shergaon	shelf				
#
3512	Shergaon	shoe, footwear				
3507	Khoina	shoe, footwear				
3508	Jerigaon	shoe, footwear				
3509	Khoitam	shoe, footwear				
3510	Rahung	shoe, footwear				
#
3521	Khispi	short				
3522	Duhumbi	short				
3525	Khoitam	short				
#
3531	Khoina	shoulder				
#
3566	Rahung	sing				
3568	Shergaon	sing				
#
3581	Khoitam	sister, elder				
3582	Rahung	sister, elder				
3583	Rupa	sister, elder				
3584	Shergaon	sister, elder				
#
3587	Khoina	sister, younger1				
3588	Jerigaon	sister, younger1				
3592	Shergaon	sister, younger1				
#
3593	Khispi	sister, younger2				
3594	Duhumbi	sister, younger2				
3595	Khoina	sister, younger2				
#
3601	Khispi	sit				
#
3658	Duhumbi	small2				
3659	Khoina	small2				
3661	Khoitam	small2				
3663	Rupa	small2				
3664	Shergaon	small2				
#
3667	Khoina	smell (n)				
3668	Jerigaon	smell (n)				
3669	Khoitam	smell (n)				
3670	Rahung	smell (n)				
3672	Shergaon	smell (n)				
#
3677	Khoitam	smell1 (vi)				
3678	Rahung	smell1 (vi)				
3679	Rupa	smell1 (vi)				
3680	Shergaon	smell1 (vi)				
#
3681	Khispi	smell2 (vi)				
3682	Duhumbi	smell2 (vi)				
3683	Khoina	smell2 (vi)				
#
3697	Khispi	snake				
3698	Duhumbi	snake				
#
3707	Khoina	snatch away				
3709	Khoitam	snatch away				
3710	Rahung	snatch away				
3712	Shergaon	snatch away				
3705	Khispi	snatch away				
3708	Jerigaon	snatch away				
#
3721	Khispi	soda ash				
3724	Jerigaon	soda ash				
3725	Khoitam	soda ash				
3728	Shergaon	soda ash				
#
3729	Khispi	soft / smooth				
3730	Duhumbi	soft / smooth				
#
3763	Khoina	song1				
3764	Jerigaon	song1				
#
3771	Khoina	song2				
3772	Jerigaon	song2				
3773	Khoitam	song2				
3776	Shergaon	song2				
#
3780	Jerigaon	soup, liquid, broth, juice				
3782	Rahung	soup, liquid, broth, juice				
3784	Shergaon	soup, liquid, broth, juice				
#
3796	Jerigaon	sow, broadcast1				
3798	Rahung	sow, broadcast1				
3800	Shergaon	sow, broadcast1				
#
3801	Khispi	sow, broadcast2				
3804	Jerigaon	sow, broadcast2				
3808	Shergaon	sow, broadcast2				
#
3819	Khoina	sparrow				
#
3825	Khispi	speak				
3829	Khoitam	speak				
#
3833	Khispi	spear				
3835	Khoina	spear				
#
3847	Rupa	spicy, pungent				
3848	Shergaon	spicy, pungent				
#
3883	Khoina	split1				
3885	Khoitam	split1				
3888	Shergaon	split1				
#
3889	Khispi	split2				
3890	Duhumbi	split2				
3894	Rahung	split2				
3895	Rupa	split2				
#
3897	Khispi	squirrel				
3902	Rahung	squirrel				
#
3905	Khispi	squirrel, flying				
#
3917	Khoitam	stab				
3918	Rahung	stab				
#
3929	Khispi	star				
3930	Duhumbi	star				
#
3948	Jerigaon	steam				
3945	Khispi	steam				
3951	Rupa	steam				
3952	Shergaon	steam				
#
3953	Khispi	stich				
3954	Duhumbi	stich				
3956	Jerigaon	stich				
3957	Khoitam	stich				
3958	Rahung	stich				
#
3968	Shergaon	stick				
#
3980	Jerigaon	story				
3983	Rupa	story				
3984	Shergaon	story				
#
3995	Khoina	stump (tree)				
3996	Jerigaon	stump (tree)				
3997	Khoitam	stump (tree)				
4000	Shergaon	stump (tree)				
#
4001	Khispi	suck1				
4002	Duhumbi	suck1				
4005	Khoitam	suck1				
4008	Shergaon	suck1				
#
4011	Khoina	suck2				
4015	Rupa	suck2				
#
4041	Khispi	sweet				
4042	Duhumbi	sweet				
4044	Jerigaon	sweet				
#
4073	Khispi	takin				
4074	Duhumbi	takin				
4075	Khoina	takin				
4077	Khoitam	takin				
4079	Rupa	takin				
4080	Shergaon	takin				
#
4100	Jerigaon	tear (vt)				
4104	Shergaon	tear (vt)				
#
4108	Jerigaon	tell				
4106	Duhumbi	tell				
#
4121	Khispi	that				
4122	Duhumbi	that				
#
4153	Khispi	thick				
#
4164	Jerigaon	thief				
4168	Shergaon	thief				
4166	Rahung	thief				
#
4171	Khoina	thigh				
#
4177	Khispi	thin				
#
4192	Shergaon	thing				
4188	Jerigaon	thing				
4187	Khoina	thing				
#
4193	Khispi	think				
4194	Duhumbi	think				
#
4209	Khispi	this				
4210	Duhumbi	this				
#
4231	Rupa	thousand				
4232	Shergaon	thousand				
#
4254	Rahung	throw				
4256	Shergaon	throw				
#
4258	Duhumbi	thunder (vi)				
4259	Khoina	thunder (vi)				
4260	Jerigaon	thunder (vi)				
4262	Rahung	thunder (vi)				
4257	Khispi	thunder (vi)				
#
4281	Khispi	till (hoe)				
4282	Duhumbi	till (hoe)				
#
4289	Khispi	tired (vi)				
4294	Rahung	tired (vi)				
4296	Shergaon	tired (vi)				
#
4307	Khoina	together with				
#
4335	Rupa	tooth				
#
4345	Khispi	trunk (tree)				
4346	Duhumbi	trunk (tree)				
4352	Shergaon	trunk (tree)				
#
4361	Khispi	tusk				
4362	Duhumbi	tusk				
4364	Jerigaon	tusk				
4368	Shergaon	tusk				
#
4377	Khispi	twist				
4380	Jerigaon	twist				
4384	Shergaon	twist				
#
4406	Rahung	up there1				
#
4411	Khoina	up there2				
4409	Khispi	up there2				
4410	Duhumbi	up there2				
#
4428	Jerigaon	uproot				
4427	Khoina	uproot				
4430	Rahung	uproot				
4432	Shergaon	uproot				
#
4443	Khoina	vagina				
4444	Jerigaon	vagina				
4445	Khoitam	vagina				
4446	Rahung	vagina				
#
4473	Khispi	vomit				
4474	Duhumbi	vomit				
#
4485	Khoitam	waist				
4486	Rahung	waist				
#
4489	Khispi	wait1				
4491	Khoina	wait1				
#
4500	Jerigaon	wait2				
4502	Rahung	wait2				
4504	Shergaon	wait2				
#
4523	Khoina	walking stick				
4524	Jerigaon	walking stick				
4521	Khispi	walking stick				
#
4547	Khoina	warm, hot (vi)				
4548	Jerigaon	warm, hot (vi)				
4552	Shergaon	warm, hot (vi)				
#
4557	Khoitam	wash1				
4558	Rahung	wash1				
#
4563	Khoina	wash2				
4567	Rupa	wash2				
4564	Jerigaon	wash2				
4568	Shergaon	wash2				
#
4579	Khoina	wealthy				
4580	Jerigaon	wealthy				
4584	Shergaon	wealthy				
#
4590	Rahung	wear				
4592	Shergaon	wear				
4589	Khoitam	wear				
#
4594	Duhumbi	weave				
#
4611	Khoina	wet1				
4612	Jerigaon	wet1				
4615	Rupa	wet1				
#
4617	Khispi	wet2				
4618	Duhumbi	wet2				
4623	Rupa	wet2				
4624	Shergaon	wet2				
#
4625	Khispi	wheat				
4626	Duhumbi	wheat				
4627	Khoina	wheat				
4628	Jerigaon	wheat				
#
4644	Jerigaon	where				
4646	Rahung	where				
4647	Rupa	where				
4648	Shergaon	where				
#
4690	Duhumbi	wing				
#
4699	Khoina	wipe				
4697	Khispi	wipe				
4698	Duhumbi	wipe				
4700	Jerigaon	wipe				
#
4736	Shergaon	word				
4732	Jerigaon	word				
#
4737	Khispi	work				
4740	Jerigaon	work				
4741	Khoitam	work				
4742	Rahung	work				
#
4747	Khoina	wring, squeeze				
4751	Rupa	wring, squeeze				
4752	Shergaon	wring, squeeze				
#
4763	Khoina	year, next				
4767	Rupa	year, next				
4764	Jerigaon	year, next				
4768	Shergaon	year, next				
#
4772	Jerigaon	year, this				
4776	Shergaon	year, this				
#
4778	Duhumbi	yellow				
4777	Khispi	yellow				
#
4792	Shergaon	yesterday				
