ID	FREQUENCY	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon	COGIDS	CONCEPTS
1	10	ɹ	-	l	-	-	-	-	-	5:2, 47:2, 196:2, 229:2, 339:1, 874:1, 1060:2, 1222:2, 1248:2, 1270:2	2pl.incl / Shergaon, people of / butter / chin / dry (adj.) / dry, dry up (v.i.) / ride, mount / squirrel, flying / wash / white / wring, squeeze
2	5	ɹ	ɹ	ɹ	ɹ	ɹ	ɹ	ɹ	ɹ	365:2, 468:2, 469:2, 1079:2, 1179:2	eight / garden / story / trivet
3	2	ɹ	n	l	ŋ	n	n	n	n	374:2, 483:2	elephant / goral
4	1	ɹ	Ø	-	-	-	-	Ø	Ø	899:2	saliva
5	1	ɹ	Ø	l	m	m	m	m	Ø	1278:2	year, this
6	1	ɹ	n	l	n	n	m	n	n	434:2	fly (vi)
7	1	ɹ	-	l	-	n	n	n	n	200:2	call for
8	1	ɹ	ŋ	l	ŋ	ɹ	ɹ	n	n	479:2	gold
1	82	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	6:2, 12:2, 35:2, 40:2, 51:2, 61:2, 69:2, 75:2, 85:2, 103:2, 139:2, 151:2, 155:3, 171:2, 184:2, 194:2, 203:2, 232:2, 235:2, 250:2, 259:2, 270:3, 276:2, 278:2, 283:2, 286:3, 302:3, 322:2, 324:2, 338:2, 347:2, 349:2, 358:2, 373:2, 399:2, 401:2, 403:2, 405:2, 407:2, 427:2, 433:2, 441:2, 442:2, 453:2, 458:2, 464:3, 466:2, 472:2, 474:1, 482:2, 485:2, 499:2, 502:2, 527:3, 576:2, 577:2, 624:2, 644:2, 646:2, 657:2, 677:2, 686:2, 726:2, 746:2, 816:2, 829:3, 895:2, 944:2, 965:2, 1024:2, 1043:2, 1067:2, 1077:2, 1084:2, 1090:2, 1138:2, 1149:2, 1150:2, 1167:2, 1215:2, 1256:2, 1285:3	2pl.excl / 2sg / Bugun / Puroik / Rahung, people of / Thembang people / after / alive, healthy / amaranth / ascend / banana / bind (v) / boil (n) / breast, milk / cap, hat / civet or spotted wild cat / cockroach / cook / cover (v) / cucumber / deaf / disease / drink / ear / egg / elephant / fear (vi) / fence / fern, fiddlehead / fly (n) / forest / frog / fruit / full / garlic / go / gourd / hail / hair (head) / heart / horn / in / jackal / lift completely, carry / light / load (n) / long / lungs / macaque / marten / middle / centre / name / night / nose / play / pull / pumpkin / quarrel (v) / rub / short / shoulder / sister, younger / sit / soft / smooth / sparrow / spirit, soul, shadow / star / stone / stump (tree) / suck / swell / thing / thousand / thread / tomorrow / tooth / trunk (tree) / up there / up; ascend / veranda / wait / walking stick / wet / window / wood / year, next
2	9	ŋ	-	ŋ	-	-	-	-	-	58:2, 211:2, 490:2, 595:2, 687:2, 923:2, 1065:2, 1217:2, 1238:2	above, top / charcoal / green / ladder / millet, broomcorn / millet, foxtail / sew / stand (up) / walnut / when / white
