ID	FREQUENCY	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon	COGIDS	CONCEPTS
3	4	ŋ	-	ŋ	-	ŋ	ŋ	ŋ	ŋ	131:2, 532:2, 733:2, 1070:2	belly, abdomen / hornbill / neck / steam
4	3	ŋ	ŋ	ŋ	-	ŋ	ŋ	-	-	49:2, 384:2, 1199:2	falcon / fall / veranda
5	3	ŋ	ŋ	n	-	ŋ	ŋ	ŋ	ŋ	301:2, 542:2, 852:2	horsefly / peas / rainbow / spear
6	2	ŋ	k	ŋ	k	k	k	k	k	269:3, 313:2	count / deer, sambar
7	2	ŋ	n	ŋ	n	m	m	m	m	238:2, 1253:2	clean / wind
8	2	ŋ	ɹ	ŋ	-	-	k	ŋ	ŋ	345:2, 471:2	dual / garlic
9	2	ŋ	ŋ	ŋ	j	ŋ	ŋ	ŋ	m	428:2, 1039:2	flow / spider
10	2	ŋ	-	ŋ	-	-	ŋ	ŋ	ŋ	27:2, 224:2	boil (n) / chili
11	1	ŋ	-	-	-	-	-	-	-	661:2	maize
12	1	ŋ	ŋ	-	ŋ	ŋ	ŋ	ŋ	ŋ	167:2	branch / shelf / wing
13	1	ŋ	n	ŋ	n	n	n	n	n	337:3	dream (n)
14	1	ŋ	-	ŋ	-	ŋ	m	-	ŋ	109:3	bat
15	1	ŋ	-	ŋ	-	ŋ	ŋ	-	-	1081:2	straight
16	1	ŋ	n	Ø	n	ŋ	ŋ	n	n	81:2	ant / year, next
17	1	ŋ	ŋ	ŋ	ŋ	ŋ	-	ŋ	-	1197:2	vegetable, leafy
18	1	ŋ	-	ŋ	-	ŋ	n	-	-	594:2	ladder
19	1	ŋ	Ø	ŋ	-	-	-	w	Ø	579:2	jump
20	1	ŋ	m	ŋ	m	m	m	m	m	206:2	cat
21	1	ŋ	Ø	ŋ	ŋ	ŋ	ŋ	-	ŋ	89:2	associative
22	1	ŋ	ŋ	ŋ	n	Ø	Ø	ŋ	ŋ	1205:2	waist
23	1	ŋ	-	ŋ	-	ŋ	ŋ	ŋ	-	1141:2	thirsty (vi)
1	1	Ø	Ø	Ø	Ø	Ø	w	w	Ø	1063:3	squirrel, flying
2	1	Ø	-	ŋ	-	-	-	k	Ø	273:2	crow
3	1	Ø	k	Ø	-	k	k	-	Ø	452:2	frog
4	1	Ø	k	n	-	ŋ	-	-	Ø	352:3	earthworm
5	1	Ø	-	ŋ	Ø	-	-	-	ŋ	868:2	rib
6	1	Ø	-	Ø	-	p	-	t	Ø	607:2	leech, land
7	1	Ø	-	n	-	n	n	Ø	Ø	256:1	come
8	1	Ø	m	m	-	m	m	-	-	335:2	dragon, thunder, lightning / lightning / shake
9	1	Ø	ŋ	Ø	ŋ	-	ŋ	ŋ	ŋ	431:2	fly (n)
10	1	Ø	ŋ	Ø	Ø	-	-	-	-	1038:3	spider
11	1	Ø	ŋ	Ø	ŋ	ŋ	ŋ	k	k	78:2	angry (vi)
12	1	Ø	n	Ø	Ø	Ø	-	Ø	Ø	616:2	left (side)
13	1	Ø	ŋ	l	ŋ	ŋ	ŋ	ŋ	ŋ	500:2	hair (body): feather
14	1	Ø	ŋ	k	ŋ	ŋ	ŋ	ŋ	ŋ	625:2	light
15	1	Ø	-	Ø	-	ŋ	n	-	n	247:2	cloud, mist, fog
16	1	Ø	-	Ø	ŋ	ŋ	ŋ	-	-	805:2	pillow
17	1	Ø	-	Ø	-	Ø	m	m	Ø	110:2	bat
18	1	Ø	ŋ	Ø	ŋ	-	-	ŋ	ŋ	94:2	back (n)
19	1	Ø	Ø	Ø	Ø	Ø	-	m	Ø	1085:3	stump (tree)
20	1	Ø	-	Ø	-	k	-	-	-	440:2	forest
21	1	Ø	k	Ø	Ø	k	Ø	p	k	1155:2	thunder (vi)
1	5	w	-	w	-	-	-	-	-	108:2, 181:2, 575:1, 1009:2, 1028:2	bastard / brother, younger / itch / soup, liquid, broth, juice / speak / water
2	3	w	-	w	-	-	-	w	w	154:2, 992:2, 1211:2	boil  (water) / snatch away / wake up
3	2	w	-	-	-	-	-	-	-	361:2, 396:2	eggplant / fat (n)
4	1	w	Ø	Ø	-	-	w	-	Ø	214:2	chest
5	1	w	-	Ø	Ø	-	-	Ø	j	781:2	partridge
6	1	w	n	Ø	-	ŋ	ŋ	-	-	287:2	day after tomorrow
7	1	w	n	w	-	ŋ	n	ŋ	ŋ	290:2	day after two days
1	7	t	-	t	-	-	-	-	-	244:2, 378:2, 585:1, 601:2, 738:2, 1114:2, 1115:2	clothing / excrete / kill / late (vi) / need to, have to / tear (vt) / tell
2	4	t	ʔ	t	t	t	t	t	t	82:2, 212:2, 421:2, 1269:3	arrive / flee / leech, land / work
3	2	t	ʔ	t	ʔ	ʔ	ʔ	t	p	170:2, 321:2	break / dirty
4	2	t	k	k	t	k	k	k	k	281:2, 566:2	cut / ice
5	1	t	-	-	-	-	-	-	-	598:2	langur
6	1	t	Ø	s	t	Ø	Ø	t	t	664:2	make
7	1	t	ŋ	-	n	n	n	n	n	658:2	machete
8	1	t	k	t	k	k	k	k	k	410:2	finger / hand, arm / nail
9	1	t	ʔ	t	ʔ	t	t	t	t	379:2	exit
10	1	t	k	t	k	k	k	k	t	149:2	blow
1	11	s	-	s	-	-	-	-	-	21:2, 76:2, 122:2, 127:2, 255:2, 279:2, 857:1, 984:2, 1048:2, 1049:2, 1226:2	Khoitam people / amaranth / bee / beer strainer / comb / curcuma sp. / recognise / smell (n) / spit / spittle, spit / throw / wear
2	4	s	-	ɕ	-	-	-	-	-	96:2, 118:2, 753:2, 974:2	back (wards) / beautiful / noon / slowly
3	3	s	k	s	k	k	k	k	t	158:2, 1017:2, 1189:2	bone / sow, broadcast / two
4	1	s	k	s	k	k	k	t	t	922:2	seven
5	1	s	ʔ	Ø	ʔ	ʔ	ʔ	t	t	1126:2	thick
1	10	p	-	p	-	p	p	p	p	242:2, 351:2, 419:2, 481:2, 587:2, 603:2, 633:2, 924:2, 1058:3, 1132:2	clitoris / ear / flame / good / kiss (n) / leaf / lightning / shade / squirrel / thin
2	3	p	-	p	-	-	-	-	-	146:2, 209:2, 1089:2	cave / cry / suck
3	2	p	k	p	k	k	k	k	k	742:2, 1203:2	net for fishing / village
4	2	p	-	-	-	-	-	-	-	844:2, 1177:2	quiver / trivet
5	1	p	-	Ø	Ø	-	Ø	-	p	801:2	pheasant, tragopan
6	1	p	ŋ	-	ŋ	m	m	m	m	112:2	beans / peas
7	1	p	Ø	-	Ø	p	-	p	k	516:2	hearth, fireplace
8	1	p	-	-	Ø	p	p	p	p	1166:2	together with
9	1	p	k	p	k	k	k	t	k	967:2	six
10	1	p	k	p	p	k	k	k	k	741:2	nest, hive, womb
1	17	n	-	n	-	-	-	-	-	59:2, 100:2, 113:3, 128:2, 173:2, 175:2, 210:2, 225:2, 376:2, 640:3, 734:2, 751:2, 896:2, 926:2, 1005:2, 1116:2, 1175:2	achieve, obtain / bad / beans / behind / bridge / bring / charcoal / chin / liver / neck / noon / rub; sharpen / shake / son-in-law / spit / spittle, spit / ten / tooth
2	12	n	n	n	n	n	n	n	n	152:2, 252:2, 393:2, 593:2, 648:2, 682:2, 743:2, 749:2, 762:2, 764:2, 910:1, 947:2	boar, wild / cold / know / look / medicine / new / nomen agentis / old / one / potato-bean / say / shy, ashamed (vi)
3	4	n	ŋ	n	ŋ	ŋ	ŋ	n	n	189:2, 553:2, 950:2, 1140:2	buckwheat, sweet / human being / silver / think
4	2	n	-	n	-	-	-	n	n	363:2, 635:2	eggplant / like, love
5	2	n	ŋ	n	ŋ	ŋ	ŋ	ŋ	ŋ	723:2, 973:2	nail / sleep
6	2	n	-	n	-	ŋ	n	-	-	30:2, 188:2	Monpa / buckwheat, sweet
7	1	n	-	n	-	n	-	n	n	979:2	small
8	1	n	-	n	-	-	n	-	-	1104:2	take
1	1	mp	Ø	mp	-	p	p	Ø	Ø	280:2	cure (vi)
1	18	m	-	m	-	-	-	-	-	33:2, 145:2, 174:2, 277:2, 314:2, 429:2, 558:2, 709:2, 719:2, 745:2, 755:2, 856:2, 937:2, 993:2, 1037:2, 1087:2, 1160:2, 1254:2	Namshu people / black / bridge, hanging / cucumber / defeat (vi) / hungry (vi) / mouse, rat / mud / night / nose / rain (n) / reap / shoe, footwear / snow / sour / spider / stump (tree) / tiger / tomorrow / wind / year, next
2	14	m	n	m	n	m	m	m	m	66:2, 71:2, 236:2, 285:2, 404:2, 449:2, 524:2, 544:2, 589:2, 690:2, 702:2, 986:2, 990:2, 1107:2	afternoon / all / civet, palm / daughter-in-law / fern, fiddlehead / hold / house / knee / millet, finger / mortar (wood) / pillow / smell1 (vi) / snake / sparrow / takin
3	6	m	ŋ	m	ŋ	ŋ	ŋ	ŋ	ŋ	114:2, 157:2, 346:2, 584:2, 878:2, 1229:2	bear / eagle, buzzard / kick (v) / ripe / weed, grass / year / year, this
4	5	m	m	m	m	m	m	m	m	23:2, 198:2, 457:2, 540:2, 881:2	Khoitam people / butterfly / frost / horsefly / moon, month / roof
5	5	m	-	m	-	-	ŋ	-	-	498:2, 521:2, 528:2, 853:2, 889:2	hail / here / hornbill / rainbow / rot (vi) / smell1 (vi)
6	2	m	m	ŋ	m	m	ŋ	ŋ	m	266:2, 833:3	cotton / pumpkin
7	1	m	n	m	n	m	m	ŋ	Ø	253:2	cold (vi)
8	1	m	Ø	m	n	ŋ	m	Ø	Ø	1078:2	story
9	1	m	-	-	-	-	-	-	-	599:2	lap
10	1	m	ɹ	m	ɹ	-	-	ɹ	j	606:2	leaf litter
11	1	m	ŋ	m	-	ŋ	ŋ	ŋ	ŋ	1151:1	three
12	1	m	Ø	-	m	Ø	m	Ø	Ø	50:3	Thembang people
1	59	k	k	k	k	k	k	k	k	79:2, 80:2, 88:2, 106:2, 116:2, 125:2, 134:2, 138:2, 142:3, 143:2, 165:2, 166:2, 168:3, 172:2, 251:2, 258:2, 271:2, 320:2, 341:1, 368:1, 375:2, 383:2, 391:2, 392:3, 444:3, 447:2, 488:2, 504:2, 509:2, 523:1, 588:2, 615:2, 637:2, 649:3, 688:2, 769:2, 796:2, 802:2, 807:2, 819:2, 823:2, 828:2, 891:2, 939:3, 970:2, 1021:2, 1025:2, 1064:2, 1066:2, 1075:2, 1108:2, 1158:2, 1161:2, 1204:2, 1209:2, 1218:2, 1224:2, 1228:2, 1266:2	angry (vi) / ant / ask / barley / beat, hit / beer filter / belt / big / bite / bitter (vi) / breath / comparative degree / creeper, vine / dig / dry (adj.) / elbow / empty / face / fast / forget / friend / halt, stop / hatch / head / hide / knee / left (side) / lick / liquor / louse / lungs / millet, broomcorn / otter / palm, sole / penis / pheasant, kalij / pig / pinch / poison / pour / pulse / red / rope / round, small object / scratch / settle / shoot / skin, bark / soybean / sparrow / stab / star / stich / taro / tie (vt) / till (hoe) / vomit / waist / wait / warm, hot (adj.) / warm, hot (vi) / wealthy / weave / wool / word
2	2	k	Ø	k	-	ŋ	Ø	ŋ	Ø	1194:2, 1208:2	uproot / waist
3	2	k	-	-	k	-	k	Ø	Ø	514:2, 533:2	heart / hornet
4	2	k	-	k	-	-	k	k	-	596:2, 1268:2	language / word
5	2	k	-	k	k	k	k	k	k	409:3, 943:2	field / shoulder
6	1	k	Ø	Ø	-	-	-	-	Ø	1188:2	twist
7	1	k	k	t	k	k	k	k	k	898:2	sago
8	1	k	Ø	k	k	-	-	k	Ø	864:2	rest (n)
9	1	k	k	p	k	k	k	k	k	240:2	cliff, ravine
10	1	k	k	k	Ø	k	k	k	t	83:2	arrow
1	35	j	-	j	-	-	-	-	-	7:2, 102:2, 147:2, 162:2, 183:2, 193:2, 199:2, 265:3, 292:2, 382:2, 415:2, 424:2, 437:2, 454:1, 582:2, 602:2, 620:2, 760:1, 814:2, 815:2, 817:2, 835:2, 839:2, 841:2, 951:2, 952:2, 1034:2, 1076:2, 1092:2, 1102:2, 1111:3, 1162:2, 1171:2, 1214:2, 1259:2	3sg / bamboo / blood / borrow / brother-in-law / burn (vi) / buy / cotton / day before two days / face / fire / flour / food / kick (v) / laugh / leg / okay / plant  (vt) / play / plough (v) / pus / put / quarrel (v) / see / silver / sing / spicy, pungent / stick / sugarcane / tail / tasty / tired (vi) / tongue / walking stick / wing
2	4	j	-	-	-	-	-	-	-	515:2, 820:2, 933:2, 1282:2	hearth, fireplace / porcupine / sheep / yesterday
3	1	j	-	j	Ø	Ø	Ø	-	j	578:2	jackal
4	1	j	-	j	-	-	-	j	-	1187:2	twenty
5	1	j	-	-	-	-	-	-	p	808:2	pine kindle
1	16	-	-	-	-	-	-	w	w	64:2, 215:2, 263:2, 330:2, 331:2, 430:2, 478:2, 639:2, 711:2, 913:2, 930:2, 1068:2, 1127:3, 1146:2, 1196:2, 1283:2	afternoon / chest / corpse / dog, wild / door / flow / forehead / goitre / live, stay / mouth / search / sharp / steal / thief / thorn / vagina / yesterday
2	4	-	-	-	-	-	m	-	-	121:2, 380:2, 432:2, 539:2	bee / eye / fly (n) / horsefly
3	4	-	-	-	-	-	-	ŋ	ŋ	111:2, 882:2, 912:2, 987:2	bat / roof / scratch / smell2 (vi)
4	3	-	-	k	-	-	-	-	-	90:2, 249:2, 1002:2	attic / cockroach / son
5	3	-	k	-	k	k	k	k	k	4:2, 297:2, 591:3	2pl.incl / day before yesterday / knee
6	3	-	-	-	-	ŋ	ŋ	-	-	57:2, 123:2, 638:2	bee / finger / listen, heed
7	2	-	ŋ	-	ŋ	ŋ	Ø	ŋ	ŋ	1056:2, 1191:3	squirrel / up there
8	2	-	k	s	k	k	k	t	k	291:2, 609:3	day before two days / leech, water
9	2	-	n	-	n	n	n	-	-	74:2, 548:2	allative / how many
10	2	-	k	-	k	k	k	-	-	77:2, 818:2	angry (vi) / plural
11	2	-	ŋ	-	-	ŋ	-	-	ŋ	44:2, 902:2	Sherdukpen / salt
12	1	-	-	l	-	-	-	w	-	1257:2	window
13	1	-	Ø	Ø	Ø	m	-	Ø	Ø	413:3	finger
14	1	-	-	-	-	-	-	t	t	714:3	much
15	1	-	Ø	Ø	-	-	ŋ	ŋ	Ø	495:2	gum
16	1	-	Ø	j	Ø	-	-	Ø	Ø	333:3	down (visible)
17	1	-	-	-	-	-	ɹ	ŋ	ŋ	197:3	butterfly
18	1	-	k	-	Ø	Ø	-	-	Ø	1052:2	split
19	1	-	-	-	-	-	n	-	-	202:2	cap, hat
20	1	-	ʔ	-	ʔ	ʔ	ʔ	t	t	364:2	eight
21	1	-	Ø	w	Ø	m	m	-	Ø	955:2	sister, younger
22	1	-	Ø	l	-	Ø	-	-	-	342:2	dry (adj.)
23	1	-	-	-	-	-	ŋ	-	-	948:2	sick (vi)
24	1	-	-	-	-	-	k	-	-	748:2	nine
25	1	-	k	-	k	k	k	t	t	289:2	day after two days
26	1	-	Ø	-	Ø	ɹ	ɹ	ɹ	ɹ	775:2	palm, sole
27	1	-	Ø	-	-	Ø	-	j	-	545:2	how many
28	1	-	-	-	m	m	m	-	-	788:2	path, road
29	1	-	-	-	-	p	-	p	p	710:2	mouse, rat
