Gloss	Khispi	Duhumbi	Khoina	Jerigaon	Khoitam	Rahung	Rupa	Shergaon
1sg	ga	ga	guː	guː	guː	guː	guː	guː
2pl.excl	na-lu	na-ɹ 	Ø	Ø	Ø	na-ryː 	naː-bluŋ	naː-bluŋ
2pl.incl	nal-tʰe	naɹ-tʰeˀ	na-tʰik	na-tʰik	na-tʰɛk	na-tʰɛk 	naː-tʰik	naː-tʰik
2sg	naŋ	naŋ	naŋ	naŋ	naŋ	naŋ	naŋ	naŋ
3sg	wuj	wɔj	laŋ-waː	waː	waː-ʥi	hɛˀ ~ ɛˀ	waː 	waː 
ablative	-lɔ	-lɔˀ	-lɔ	-lɔ	-lɔ	-rɔ	-lɔ	-lɔ
above, top	ʨʰaŋ	ʨʰaŋ	a-ʦʰɔ̃ː(ŋ)	a-ʨʰɔ̃ː(ŋ)	a-ʨʰũː(ŋ)	Ø	Ø	Ø
achieve, obtain	man	man	mɐ̃ː	Ø	mɔ̃ː	mɔ̃ː	mɔ̃ː	Ø
aconite	si	si	saː	sɛː	sɛ	sɛˀ 	saː 	saː
after	la-kʰuŋ	la-kʰuŋ	la-kʰyŋ	Ø	Ø	la-kʰyŋ	də-kʰyŋ	Ø
afternoon	Ø	Ø	na-jɔ-tøn	ny-jɔ-tɛn	ny-jɔ	ny-jɔ	ɲaw	ɲaw 
agent	-ɔ	-ɔˀ	Ø	Ø	-ɔ	-ɔ	-ɔ̃	Ø
alive, healthy 	ɔ-haŋ	u-kʰaŋ	Ø	Ø	a-haŋ	a-haŋ	a-haŋ-ba	a-haŋ
all	Ø	Ø	a-tʰɔn-ʥi	Ø	a-tʰɔm	a-tʰɔm	a-tʰɔm	a-tʰɔm
allative	-ta	-ta	Ø	-tɛn	-tan	-tɛn	-tɔː	-tɔː
amaranth	Ø	mɛs-kɔŋ 	Ø	mə-kuŋ	Ø	Ø	Ø	Ø
angry (vi)	(ki) ʦʰik	(ki) ʦʰik	lyŋ ʐyk	lyŋ zyk	liŋ zyk	liŋ zik 	zə-lik	zə-lik
ant	(kʰe-) ʨʰɔk	(kʰin-) ʨʰɔk	ʂan-dʐɔk	san-ʥɔk	saŋ-ʥɔk	saŋ-ʥɔk	san-ɟɔk ~ san-ʥɔk	san-ʥɔk
arrive	pʰɛt	pʰɛt	pʰɛt	pʰɛʔ	pʰɛt	pʰɛt	Ø	Ø
arrow	mik	mik	Ø	mik	mik	mik-ri 	mik	mit
ascend	Ø	ʥaŋ(-luŋ)	ʥaŋ	(kʰa-)ʥaŋ (aŋ)	Ø	(kʰan-)ʥaŋ (ɔŋ)	Ø	Ø
ash	ʨʰu-pʰa 	ʨʰu-pʰaˀ	ʥɐ-pʰlu	ʨʰɐ-pʰlu	ʨʰa-pʰlu	ʨʰa-pʰru ~ ʨʰa-pʰlu	ʨʰa-pʰlu 	ʨʰa-plu
ask	ʥik	ʥik	ʐik	Ø	zik	zik	zik	Ø
associative 	-tʰɔŋ	-tʰɔŋ	-tʰyŋ	Ø	-tʰɔŋ	-tʰɔŋ	-tʰɔ̃ː(ŋ) 	-tʰɔŋ
attic	ʑak ~ ʑap	jap	ʐɔː	Ø	zoː	zoː	zoː	zoː
axe	pʰa	pʰa	pʰu-luˀ	pʰluˀ	pʰluˀ	pʰɹuˀ	pʰluˀ 	pʰluˀ
back (n)	Ø	Ø	na-guŋ	na-kuŋ	(a-)kyː	kyː	ɲa-kʰuŋ ~ ɲa-guŋ	ɲa-kʰuŋ
back (wards) 	kʰiɕ ~ kʰis	Ø	Ø	Ø	li-kʰeː	la-kʰeː 	lə-kʰeː  	Ø
bad1	u-ʑan 	u-ʑan	a-ʐɐ̃ː (-dyː) 	Ø	a-zɔ̃ː 	a-zɔ̃ː 	a-zɔ̃ː 	Ø
bad2	Ø	Ø	a-nu	a-nu	a-nu	a-nu	a-ɲu 	Ø
bamboo	mej	mɛj	maː	mɛˀ	mɛˀ	mɛˀ	maˀ	ma
banana 	Ø	Ø	ma-suŋ	mə-suŋ	mə-suŋ	pʰ-suŋ	mə-suŋ ~ bə-suŋ	mə-suŋ
barley 	pʰɔk	pʰɔk	pʰuk (dakløː)	pʰuk	pʰuk	pʰuk	pʰuk	pʰuk
bastard	daw-la	dow-la	də-pʰlɐːʰ	du-flɐːʰ	du-pʰlɔːʰ	da-pʰlɔːʰ	də-pʰlɔːʰ	də-pʰlɔː
bat	pʰa-baŋ	pʰa-waŋ ~ pʰɔŋ-kʰaŋ	ʥə-pʰlɔ̃ː	ʨʰa-pʰɔ̃ː	pʰɔː-waŋ	ʨʰam-pʰɔm	ʨʰam-pʰlaː ~ ʦʰam-pʰlɔ̃ː ~ pʰaː-baŋ ~ pʰaː-waŋ	paŋ-paŋ
beans	pʰo-bin 	Ø	pʰɔŋ-ba	pʰɔŋ-ba	pʰɔm-bɛ	pʰam-bɛ	pʰam-pʰla 	Ø
bear	ɕa-tʰɔm	ɕa-tʰɔm	ɕ-tʰuŋ	s-tʰuŋ	s-tʰuŋ ~ s-tuŋ 	s-tuŋ	s-tuŋ	s-tuŋ
beat, hit	mak	mak	wɐk	wɐk	Ø	mak 	mak	Ø
beautiful	u-liɕ-ta	u-lis	Ø	Ø	Ø	a-leː-du	a-leː-du	Ø
bee	ʨʰi-kʰus a-ma	ʨʰi-kʰus a-ma	ʨʰə-xø-mɐːʰ	ʨʰə-kʰø-muː	Ø	ʨʰaŋ-kʰø-əm	ʨʰə-kʰø-mɔː 	ʨʰə-kʰe-mɔː
beer filter	tʰɔk	tʰɔk	tʰɔk	tʰɔk	tʰɔk	tʰɔk(-bɹoː)	tʰɔk	(kʰi-)tʰɔk
beer strainer	kʰas-ki	kʰas-ki	Ø	ka-ʨɛˀ	(byŋ) kʰa-ʨi 	Ø	Ø	Ø
behind	la-kʰun	la-kʰun	Ø	Ø	Ø	la-kʰeː	də-kʰeː 	Ø
belly, abdomen	hi-niŋ 	hi-liŋ	sə-rĩː	sə-rĩː	pʰə-riŋ	sə-riŋ	sə-riŋ	sə-riŋ
belt	bu-kʰak	bu-kʰak	bu-kʰɐk	mə-kʰɐk	mə-kʰak	mə-kʰak	mə-kʰak	mə-kʰak
big 	ɔ-dɔk	ɔ-dɔk	a-dɔk 	a-dɔk 	a-dɔk 	a-dɔk 	a-dɔk 	a-dɔk 
bind (v)	dɔŋ	dɔŋ	ruŋ	Ø	Ø	Ø	Ø	Ø
bird	hwa	hwa	fuː	huː	huː	huː	huː	huː
bite	zɛk	zjɛk 	Ø	Ø	zɛk	zɛk	zɛk	zɛk
bitter (vi)	ʨʰak	ʨʰak	a-ʨʰɐk 	ʨʰɐk	ʨʰak	ʨʰak	cʰak ~ ʨʰak	a-ʨʰak 
black	u-ʨʰam	u-ʨʰam	a-tʂʰũː	a-ʨʰɔ̃ː	a-ʨʰũː	a-ʨʰũː	a-ʨʰũː	a-ʨʰɔ̃ː
blood	huj	hɔj	xaː	hɛːʰ	hɛːʰ	hɛːʰ	haːʰ 	haː
blow 	hut	hut	wik	wik	mik	mik	mik	mit
blow (wind)	Ø	Ø	fɔː	Ø	fyː	hyː	Ø	Ø
boar, wild 	ɕa-kʰɛn	ɕa-kʰɛn	ʂ-tʂʰɛn	s-ɛn	s-kan ~ s-kʰan	s-kʰan ~ s-kɛn	s-kan	s-kan
boil  (water)	ʨʰɔw	ʨʰɔw	Ø	ʨʰɔ	ʨʰɔ	ʨʰo	ʦʰaw ~ ʨʰaw 	ʨʰaw
boil (n)	kʰaŋ-pa ~ kʰlaŋ-pa	kʰɹaŋ-pa	gə-kʰaŋ	Ø	kʰa-kʰaŋ	kʰaŋ-kʰaŋ	kʰaŋ-kʰaŋ	Ø
bone	ɕa-kʰus	ɕa-kʰus	a-xyk	i-hik	sə-kik ~ s-kik	s-kik	s-kik	s-kit
borrow1 	luj	lɔj	Ø	Ø	lɛːʰ	Ø	laː	Ø
borrow2 	kʰi	kʰi	ʨʰiː	ʨʰiː	ʨʰiː	Ø	kʰiː ~ ʨʰiː 	kʰiː
bow	li	li	li	li	ri	ri	li 	li
brain	ɕa-ɲu	ɕa-ɲu 	(mə-tʰɛ̃n) sə-nyː	(kʰruk) a-nyː	(kʰruk) a-nyː	(kʰruk) a-nyː	a-ɲyː 	a-ɲiː
branch	Ø	Ø	a-pʰaŋ	a-pʰaŋ	a-pʰaŋ	a-pʰaŋ	a-pʰaŋ	a-pʰaŋ
break	gɛt	gɛt	ʥɛʔ	ʨʰɛʔ	ʥɛʔ ~ ʨʰɛʔ	ʥɛʔ	gat	Ø
breast, milk 	ɲiŋ ~ ɲuŋ	ɲiŋ ~ ɲuŋ 	nyŋ	nyŋ	nyŋ	nyŋ	ɲyŋ	ɲuŋ
breath	buk	buk	byk	byk	byk	byk	byk	buk
bridge	tʰɔn	tʰɔn	tʰøː	tʰøː	tʰĩː	tʰyː	tʰøː	toː(-zam)
bridge, hanging	Ø	ɕam	sɔ̃ː 	Ø	sũː(ŋ)	Ø	sũː	Ø
bring	tʰun	Ø	ʨʰuː	ʨʰuː	ʨʰuː	ʨʰuː	ʨʰu	Ø
brother (elder)	a-da	a-daˀ	a-ja	a-jɛˀ	gə-bɛˀ ~ a-bɛˀ	a-bɛˀ	a-bu	a-bu
brother-in-law	a-lej ~ a-li	a-lɛj	a-raː	a-rɛː	a-rɛː	a-rɛː	a-raː 	a-raː
brother, younger 	ɔ-nɔw	ɔ-nɔw 	Ø	a-nuː	a-nuː	a-nuː	a-nuː	a-nuː
buckwheat, bitter 	jɛs-ma	ʑa-ma ~ bɹa-ma	dza-m	ʥə-muː	ʥu-m	ʥə-muː	dzə-muː	ʥə-muː
buckwheat, sweet 	gun-ʦun	gun-ʦun	ʣam gə-ʦiŋ	kʰ-ʨiŋ	kʰiŋ-ʨiŋ	kʰan-ʨiŋ	gə-ʦin	gə-ʨin
buffalo	Ø	Ø	ʂə-dʐeː	sə-ʥeː	ʥə-zeː ~ zə-zeː	zeː	zə-gyː(ŋ) ~ zə-geː	zə-geː
Bugun 	Ø	Ø	ʂə-luŋ	Ø	Ø	su-luŋ	sə-luŋ	su-luŋ
burn (vi)	haj	haj	ha	hɛ	hɛ	hɛ	ha 	ha
burn, roast (vt)	di	di	riː	Ø	riː	Ø	riː 	Ø
