Gloss	Khispi	Duhumbi	Khoina	Jerigaon	Khoitam	Rahung	Rupa	Shergaon
butter	mal	maɹ	mɐ̃ː	mɐ̃ː	mɔ̃ː	mɔ̃ː	mɔ̃ː	mɔ̃ː
butterfly	Ø	(pɛm-)pi-liŋ 	ʦʰam-pʰlɔ̃ː	ʨʰam-blɔ̃ː ~ ʨʰam-pʰlɔ̃ː	ʨʰam-pʰlɔː	ʨʰam-pʰɔɹ	ʦam-pyŋ ~ ʨam-pyŋ ~ ʨam-pliŋ	ʨʰam-pliŋ
buy	ɕej	ɕɛj	ʦʰaː	ʨʰɛː ~ ʨʰaː	ʨʰɛː	ʨʰɛː	ʨʰaː ~ ʦʰaː 	ʨʰaː
call for	kʰal	kʰaɹ	kʰɛ(n)	kʰɛ(n)	kʰan	kʰan ~ kʰɛ(n)	kʰan	kʰan
cane	kʰi	kʰi	ʨʰi	ʨʰi	ʨʰi	ʨʰi	kʰi 	kʰi
cap, hat	kʰɔ-tʰuŋ ~ kʰɔ-tʰɔŋ	kʰɔ-tʰɔŋ	gə-tʰuŋ	kʰ-tʰuŋ	kʰ-tʰuŋ	kʰan-tʰuŋ	gə-tʰuŋ	kʰ-tʰuŋ
carry 	bu	bu	byː	byː	byː	byː	byː 	biː
cat	ɲaŋ-bu	ɲaŋ-bu 	nam-byː	nam-byː 	nam-byː	nam-byː	ɲam-byː 	ɲam-biː
cattle, cow	ɕa	ɕa	ʂuː	huː	huː	huː 	s-puː 	s-puː
cave	kʰip	kʰip	tʂʰeˀ	ʨʰeˀ	ʨʰeˀ	ʨʰeˀ	kʰeˀ 	kʰeː
charcoal	bɛŋ-kʰan	Ø	bə-kʰɐ̃ː	ba-kʰə-muː  ~ ba-møː	ba-kʰɔ̃ː	mə-kʰɔ̃ː	ba-kʰɔ̃ː	ba-kʰɔ̃ː
chest	Ø	mɔw 	ma-wɔ	Ø	mu-wɔ	mow  ~ mo 	mə-jaw ~ mwo 	Ø
chew	ka	ka	kaˀ	kaˀ	ka	ka	ku ~ kuː	Ø
chicken	hwa-kʰi	hɔː-ki ~ hu-ki	bə-ʨʰaː	pʰ-ʨʰɛː	pʰ-ʨʰɛː	pʰ-ʨʰɛː	bə-cʰaː ~ bə-ʨʰaː 	pʰ-ʨʰaː
child	Ø	a-nu	a-nyː	a-nyː	a-nyː	a-nyː	nə-nyː 	nə-nu
chili	maŋ 	maŋ	mɔ̃ː	mɔ̃ː	mũː	mɔŋ 	mɔŋ	mɔŋ
chin	hin-kul ~ hin-kuɹ	Ø	ny-ju-kʰuː	ny-jɔ-kʰuː	nə-wu	ma-wu	Ø	Ø
civet or spotted wild cat 	Ø	Ø	saŋ-gə-du	saŋ-gə-du	ʦiŋ-gə-duˀ	saŋ-du	saŋ-gə-tu	saŋ-kə-tu
civet, palm 	Ø	Ø	s-nøn	Ø	su-nɔm	Ø	Ø	sə-ɲɔm
clean	u-ʦaŋ	u-ʦaŋ	a-san	Ø	Ø	a-sam	a-sam	Ø
cliff, ravine	ɕap ~ ɕak	ɕak	ʦʰɐk	ʨʰɐk	ʨʰak	ʨʰak	ʦʰak ~ ʨʰak	ʨʰak
clitoris	Ø	Ø	da-pɛː	Ø	peː 	peː 	ʨɔp-beː ~ ʨɔ-peː	ʨɔp-beː
clothing	wat	wat	jɐˀ	jɐˀ	jɔˀ	jɔˀ	jɔˀ	jɔ
cloud, mist, fog	tɔŋ-ti ~ tɔŋ-tej	Ø	ʂ-tyː	s-tyː	syŋ-tyː	syn-tyː	ʦə-tyː ~ s-tyː 	sin-tiː ~ sin-tyː 
cockroach	ʨʰik-duŋ 	Ø	Ø	Ø	(pʰyː) ʨʰu-luŋ	(ba-)ʨʰu-ɹuŋ	(bə-)ʨʰu-luŋ	(bu-)ʨʰu-luŋ
cold	ɔ-ʦɛn	ɔ-ʦɛn	a-ʦɛn	a-ʨɛn	a-ʨan	a-ʨɛn	a-ʨʰan	Ø
cold (vi) 	lam	lam	ran	ran	ram	ram	rɛŋ 	Ø
comb	tas	tas 	nɐ̃	nɐ̃	nɔ̃	nɔ̃	nɔ̃	nɔ̃
come	un	lɔn	u	u	un	un	Ø	Ø
comparative degree	-ɕɔk	-ɕɔk	Ø	-sɔk	-sɔk	-sɔk	Ø	Ø
cook1 	dɔŋ	dɔŋ	Ø	Ø	Ø	ruŋ	ruŋ	Ø
cook2 	Ø	Ø	tʰyŋ	tʰyŋ	Ø	Ø	tʰuŋ 	tʰuŋ
copula, existential	be	beˀ 	bɛˀ	bɛˀ	bɛˀ	bɛˀ	ba 	ba
copula, negative	ba-ju	bɔ-ju	by-yː	by-yː	by-yː	Ø	by-yː ~ bi-iː	bi-iː
corpse	lu ~ lɔː	rɔː 	(i-i-)rɔː	rɔː	rɔː	roː	raw 	raw
cotton	Ø	kam-bɛj bu	xɐm-pʰɐ	hɐm-pʰɐ	ham-pʰlɔ	haŋ-pʰ-gɔ ~ haŋ-kʰu-bɔ̃	hɐŋ-pʰwɔ ~ kam-bɛj	kam-ba
cough (vi)	ʦʰu	ʦʰu	ʦʰyː	Ø	ʨʰyː	ʨʰyː	ʨʰyː 	Ø
count	gaŋ	gɹaŋ	dʐajk	ʥɛk	ʥɛk	ʥɛk	gɛk	gɛk
cover (v)	Ø	tʰjɛŋ	Ø	Ø	Ø	Ø	tʰɛŋ	Ø
creeper, vine	(mɛn-)tʰak	(mɛn-)tʰak 	tʰɐk-kʰyː	tʰɐk-kʰyː	tʰak-kʰyː	tʰak-kʰyː	Ø	tʰak-kʰiː
crow	haŋ-ŋa 	Ø	fɔ-ɔ̃ː	hɔ-ɔ̃ː	hu-ɔ̃ː	hɔ-ɔ̃ː	bə-hɔk	Ø
cry	kʰip	kʰip	tʂʰeˀ	ʨʰeˀ	ʨʰeˀ	ʨʰeˀ	kʰeˀ 	kʰeː
cucumber	mɛm-bɔŋ	mɛm-pʰɔŋ 	ma-buŋ	ma-buŋ	ma-buŋ	ma-buŋ	mə-/bə-buŋ	mə-buŋ
curcuma sp.	Ø	bɔs	bøˀ	Ø	beˀ	bøˀ	Ø	Ø
cure (vi)	ʥamp	ʥamp 	ʥa	Ø	ʥap	ʥap	Ø	Ø
cut	Ø	ʨʰat	ʦat	ʨɛk	ʨɛk	ʨɛk	ʦɛk ~ ʨɛk	ʨɛk
dance	Ø	Ø	ʂuː	suː	suː	suː	suː 	suː
daughter	da-mu	da-mu	(a-) də-myː	də-myː	də-myː	də-myː	də-myː 	di-miː
daughter-in-law 	u-ʨʰam	u-ʨʰam	a-ʨʰan	Ø	a-ʨʰam	a-ʨʰam	a-ʨʰam 	Ø
day after tomorrow	Ø	lɔw-la	lə-luː	lɛn-lu	luŋ-luː	luŋ-luː	li-luː	ly-luː
day after two days	lɔw-ki	lɔw-kiˀ	lə-ʨik	lɛn-ʨik 	liŋ-ʨik	nin-ʨik 	liŋ-kit	liŋ-kʰit 
day before two days	-	dɛj-kiˀ-ni	di-ʨik-ri 	si-ʨik-hi 	Ø	Ø	di-kʰit-ni 	tʰi-kʰik-ni 
day before yesterday	dɔ-kʰɔ-ni	dɔ-kʰɔ-ni	tʰ-kʰɔk-niː	to-kʰok-hi 	kʰɔk-niː	kʰɔk-nə-hɔ	do-kʰok-ni 	tʰo-kʰok-ni 
deaf	bɛŋ-zar	bjɛŋ-ka	Ø	Ø	(kʰɔm-)pʰaŋ	Ø	bɛŋ-ŋɔ	Ø
deep	Ø	Ø	a-dʐyː	a-ʥə-ryː	a-ʥə-ryː	ʥə-ryː	a-gyː	a-giː
deer, barking 	(ʥaŋ-)ɕi-ki	(ʥaŋ-)ɕi-ki	ʂ-tʂʰiː	siː	sə-kiː ~ s-kiː	s-kiː ~ sə-kiː ~ sə-kʰiː	skiː  ~ sə-kiː	sə-kiː
deer, sambar 	ɕa-ʥuŋ 	Ø	sy-ʣyk	Ø	ʥə-zyk	Ø	zyk	Ø
defeat (vi) 	Ø	pʰam	Ø	Ø	pʰũː(ŋ)	pʰũː(ŋ)	Ø	Ø
deity, ghost	la ~ ɬa	la ~ ɬa	mə-hɔː	Ø	mə-lɔː	mə-loː	loː	Ø
descend	ju	ju	jyː	Ø	jyː	jyː	jyː 	Ø
die	i	i	iː	iː	iː	iː	iː 	iː
dig	jɔk	jɔk	Ø	jɔk	Ø	jɔk	wɔk	Ø
dirty	Ø	Ø	a-ʐɛʔ	a-zɛʔ	a-zɛʔ	a-zɛʔ	zat-mi	zap-tɛŋ
disease 	Ø	Ø	(ku-)ruŋ	nuŋ 	nuŋ 	nuŋ 	nuŋ 	-
do	li	le	ra	ra ~ rɛ	rɛ	ra ~ rɛ	ra 	ra
dog	wa-tʰi 	wa-tʰi	bə-tʰaː	pʰ-tʰɛː	pʰ-tʰɛː	pʰ-tʰɛː	bə-tʰaː 	pʰ-tʰaː
dog, wild 	Ø	Ø	(də-)ʦʰɔ̃ː	sɔː	Ø	ʦə-sɔm 	saw	saw
door	ku	kɔː 	kɔː	kɔː	kɔː	koː	kaw 	kaw
down 	be ~ bja	be 	buː(-rɔ)	buː(-tɛn) 	buː(-lɔ)	Ø	buː(-tɔ)	buː(-tɔ)
down (visible)	kʰaj ~ kʰja	kʰe ~ kʰja	Ø	Ø	kʰwa(-ʥi)	kʰa	Ø	Ø
dragon, thunder, lightning	Ø	Ø	nə-ʦʰaː	Ø	Ø	nam-ʨʰə-rɛː	Ø	Ø
dream (n)	bɛŋ(-kʰan)	bjɛŋ(-kʰan)	bɛn	bɛn	ban	ban ~ bɛn	ban	ban
drink	ɲiŋ ~ ɲuŋ 	ɲiŋ ~ ɲuŋ	lyŋ	liŋ	liŋ	liŋ	liŋ	iŋ
dry (adj.)	wal ~ ɔ-wal	wa-aɹ	ɔ-ɐ̃ː	yk-ɐ̃ː	yk-ɔ̃ː	ɔ-ɔ̃ː	ɔ-ɔ̃ː	ɔ-ɔ̃ː
dry, dry up (v.i.)	al	aɹ	Ø	ɐ̃ː	Ø	Ø	ɔ̃ː	Ø
dual 	-ziŋ	-ziŋ	Ø	Ø	Ø	-zik 	-ziŋ	-ziŋ
eagle, buzzard	ha-ʦum	hu-ʦum	Ø	Ø	pə-ʨyŋ	bə-ʨyŋ ~ pʰ-ʨyŋ	bə-ʨiŋ	Ø
ear	kʰu-tʰuŋ	kʰu-tʰuŋ	ga-tʰyŋ	kʰ-tʰyŋ-lɛ 	kʰ-tʰyŋ	kʰ-tʰyŋ	gə-tʰyŋ	kʰə-tʰuŋ-lap
earthworm	(ɕala) pʰu-tʰin	Ø	tʰa-kʰ-laː	tʰlak-kʰlaː ~ də-kʰlak-kʰlaː	pʰ-tʰaŋ-hɔ̃ː ~ pi-taŋ-hɔ̃ː	tɔ̃-hɔ̃ː	pʰyː dɔ̃(ŋ)hɔ̃ː 	Ø
eat	ʨʰa	ʨʰa	ʦʰu	ʨʰu	ʨʰu	ʨʰu	ʦʰu ~ ʨʰu 	ʨʰu
egg	ɔ-gɔŋ 	hɔj-ʥɔŋ	a-juŋ	a-juŋ	a-juŋ	a-juŋ	a-juŋ	Ø
eggplant	ban-tʰu	ban-tʰɔw	ma-tʰɔː	mə-tʰɔː	mə-tʰoː	pʰ-tʰoː	man-tʰoː 	ban-tʰoː
eight	saɹ-gɛː	saɹ-gɛˀ	saɹ-gɛʔ ~ saɹ-ʥɛʔ	saɹ-gɛʔ	saɹ-ʥɛʔ	saɹ-ʥɛʔ	saɹ-ɟat ~ saɹ-ʥat	saɹ-ʥat
elbow	Ø	ki-lik-pa	ji ʦə-ryː	ik ʨə-ryː	ik kə-li	ik kə-ri	ik kə-li 	ik kə-li
elephant	Ø	Ø	ʂu-ʂiŋ-tʰɔŋ	su-sɛn-tʰɔŋ	su-san-tʰɔŋ	su-san-tʰɔŋ	s-tɔŋ	s-tɔŋ
empty	Ø	Ø	a-ruk	a-ruk	a-ruk	a-ruk	a-ruk	a-ruk
excrement	Ø	Ø	jaː	jɛː ~ jaː	jɛː	jɛː	jaː	jaː
excrete 	ʨʰat	ʨʰɛt 	tʂʰɐ̃	ʨʰɐ̃	Ø	ʨʰɔ̃	ʨʰɔ̃	ʨʰɔ̃
exit	ɕɛt	ɕɛt	ʂɛʔ	sɛʔ	sɛt	sɛt	sat	sat
eye	kʰu-mɔː	kʰu-m	ga-byː	kʰa-byː	kʰa-byː	kʰam-byː ~ kʰa-byː	kʰa-byː ~ kʰə-byː 	kʰi-biː
face1	Ø	zuk	zyk	Ø	zyk	zyk	zyk	Ø
face2 	muj	mɛj	miː 	miː	miː	miː 	myː 	Ø
falcon	hwa-ʨɔŋ-ki	hwa-ʨɔŋ-ki	ʣa-kyː	ʨaŋ-kə-luŋ	Ø	Ø	Ø	Ø
fall1 	ɕa	ɕa	Ø	Ø	Ø	ʨʰuː	ʦʰuː  ~ ʨʰuː 	Ø
fall2	Ø	Ø	Ø	hiŋ	hiŋ	hyŋ	hĩː	hĩː
far	Ø	Ø	a-tʂʰɐ̃ː	a-ʨʰɐ̃ː	a-ʨʰɔ̃ː	a-ʨʰɔ̃ː	a-ʨʰɔ̃ː	a-ʨʰɔ̃ː
fast	Ø	ʥɔk-pu	a-ʥɔk	a-ʥɔk	a-ʥɔk	a-ʥɔk	a-dzuk ~ a-dzɔk	a-ʥɔk
fat (n)	ɔ-ju ~ u-ju	ɔ-jɔw	a-jɔː	a-jɔː	a-joː	a-joː	a-joː 	a-joː
father	a-ba	a-pa	a-bɔː	a-bɔː	a-bɔː	a-boː	a-boː ~ a-poː ~ bɔ-ja	Ø
fear (vi)	Ø	Ø	fuŋ	huŋ	huŋ	huŋ	huŋ	huŋ
female 	u-ma ~ a-ma	u-ma	am ~ a-muː 	a-muː 	a-muː 	a-muː 	a-muː	a-muː
fence	gɔŋ	gɔŋ	Ø	Ø	guŋ	guŋ	Ø	Ø
fern, fiddlehead 	daŋ-sum	daŋ-sum	daŋ-søn	daŋ-søn	daŋ-sɔm	daŋ-søm	daŋ-sɔm ~ daŋ-sum	daŋ-sum 
fetch	la	la	Ø	Ø	luː	loː	luː ~ ruː	luː
few, little	Ø	Ø	a-ʨʰaː	a-ʨʰɛː	a-ʨʰɛː	a-ʨʰɛː	Ø	Ø
field 	lɛk	ljɛk	rajk	rɛˀ	rɛk(-zĩː)	rɛk	rɛk ~ rɛk(-saŋ)	rɛk(-saŋ)
finger 	hut ɕa-da	hut bɹa-ma	ik a-du	ik a-du	ik bɹɔm	ik pɹø-muŋ ~ ik-bɹɔm	ik ʦʰik ~ ik-ʨʰik ~ ik-ʨʰĩː	Ø
fire	bej	bɛj	baː	bɛˀ	bɛˀ	bɛˀ	baˀ 	ba
fire prefix	bu-	bu-	ba-	ba-	ba-	ba-	ba-	ba-
fish	ŋa	ŋa	nu	nu	nu(ŋ)	nu(ŋ)	ɲu ~ ɲuŋ	ɲu
five	kʰa	kʰa	kʰuː	kʰuː	kʰuː	kʰuː	kʰuː	kʰuː
flame	Ø	(bɛj) ɬap 	Ø	Ø	(bɛ-) lap ~ (ba-) lap	Ø	(ba) a-lap ~ (ba-) lap	Ø
flee	jɛt	jɛt	Ø	Ø	jɛt	jɛt	jat	jat
float	Ø	Ø	Ø	raː (-tʰɔn)	rɛː (-tʰĩː)	rɛː (-tʰyː)	Ø	Ø
flour	pʰuj	pʰɔj	nə-faː	nə-hɛːʰ	nə-pʰɛːʰ	mə-hɛːʰ	nə-pʰaː	nə-pʰaː
flow	Ø	wa 	xyj(ŋ)	hyŋ	hyŋ	Ø	haw	haw
fly (n)	Ø	Ø	bə-ʨiŋ-ʨɔŋ ~ bə-ʨiŋ-pʰuŋ	pʰə-ʨiŋ-ʨɔŋ ~mə-ʨiŋ-ʨɔŋ	pʰ-ʦiː ~ pʰ-ʨiː 	ʨa-pim	bə-ʨiŋ	bə-ʨiŋ
fly (vi)	ɕɛl	ɕɛɹ	ʦʰɛn	ʨʰɛn	ʨʰan	ʨʰɛm	ʨʰan ~ ʦʰan	ʨʰan
fodder	ʦi	ʦi	də-ʦʰik 	Ø	ʨiː	ʨiː	də-sɛː ~ siː 	Ø
food 	hɔj	Ø	haː	hɛ̃ː	hɛ̃ˀ	hɛˀ 	haˀ ~ haː	haː
forehead	Ø	Ø	ma-kɔː	mu-kɔː	mu-kɔː	mə-koː	mə-kaw 	mə-kaw
forest1 	Ø	Ø	ri-ʂɛˀ	rə-sɛˀ	a-sak	a-seˀ	ɟaŋ-seˀ ~ ʥaŋ-seˀ	ʥaŋ-se
forest2 	ʥaŋ 	ʥaŋ 	Ø	Ø	Ø	Ø	ɟaŋ-seˀ 	ʥaŋ-se
forget	(ganʥi) pʰak	Ø	pʰlɐk	pʰlɐk	pʰlak	pʰrak	pʰlak	pʰlak
four 	p-ɕi	p-ɕi	p-ʂiː	p-siː	p-siː	p-siː	bə-siː 	p-ɕi 
friend	lɔk	lɔk	rɔk	kʰ-rɔ̃ː ~ kʰu-rɔ̃ː	kʰə-nũː	kʰə-nũː	rɔk	rɔk
frog 	duŋ-ta	duŋ-taˀ ~ dum-ta	rə-tu	rɛk-tu	rik-tu	rik-tu	riː-gə-tu	Ø
frost	nam-ba	Ø	Ø	Ø	nam-bluː	nam-bruː	nam-bluː	nam-bluː
fruit	Ø	Ø	Ø	Ø	mə-laŋ	mə-laŋ	mə-laŋ	mə-laŋ
frying pan	Ø	Ø	kʰə-jaː	Ø	kʰ-jɛː	kʰi-jɛː	kʰ-jaː	Ø
